parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
5799,2,eukaryota,5800,Eimeria,83,872
5800,1,eukaryota,5804,Eimeria maxima,75,787
5800,1,eukaryota,51315,Eimeria necatrix,7,73
5800,1,eukaryota,51314,Eimeria brunetti,1,10
5809,2,eukaryota,5810,Toxoplasma,2,21
5810,1,eukaryota,5811,Toxoplasma gondii,2,21
5809,2,eukaryota,5812,Sarcocystis,1,10
5812,1,eukaryota,42890,Sarcocystis neurona,1,10
1639119,2,eukaryota,5820,Plasmodium,2,21
5820,2,eukaryota,418103,Plasmodium (Plasmodium),2,21
32594,2,eukaryota,5864,Babesia,2,21
5864,1,eukaryota,5868,Babesia microti,2,21
4764,2,eukaryota,100860,Aphanomyces,4,42
100860,1,eukaryota,157072,Aphanomyces invadans,4,42
4777,2,eukaryota,4783,Phytophthora,1,10
4783,1,eukaryota,4785,Phytophthora cinnamomi,1,10
4777,2,eukaryota,184462,Hyaloperonospora,1,10
184462,1,eukaryota,272952,Hyaloperonospora arabidopsidis,1,10
4782,2,eukaryota,4797,Pythium,1,10
4797,1,eukaryota,65070,Pythium aphanidermatum,1,10
4782,2,eukaryota,1448052,Globisporangium,1,10
1448052,1,eukaryota,2052682,Globisporangium ultimum,1,10
5593,2,eukaryota,41687,Scedosporium,2,21
41687,1,eukaryota,563466,Scedosporium apiospermum,2,21
5593,2,eukaryota,1549750,Lomentospora,1,10
1549750,1,eukaryota,41688,Lomentospora prolificans,1,10
110618,2,eukaryota,5506,Fusarium,2,21
5506,2,eukaryota,569360,Fusarium sambucinum species complex,2,21
569360,1,eukaryota,5518,Fusarium graminearum,2,21
5148,2,eukaryota,5140,Neurospora,1,10
1131492,2,eukaryota,5052,Aspergillus,1,10
299071,2,eukaryota,5036,Histoplasma,1,10
5036,1,eukaryota,5037,Histoplasma capsulatum,1,10
43219,2,eukaryota,82105,Cladophialophora,1,10
82105,1,eukaryota,86049,Cladophialophora carrionii,1,10
4893,2,eukaryota,4930,Saccharomyces,2,21
4930,1,eukaryota,4932,Saccharomyces cerevisiae,2,21
4893,2,eukaryota,374468,Nakaseomyces,1,10
374468,1,eukaryota,5478,Nakaseomyces glabratus,1,10
4894,2,eukaryota,4895,Schizosaccharomyces,3,31
4895,1,eukaryota,4896,Schizosaccharomyces pombe,2,21
4895,1,eukaryota,4897,Schizosaccharomyces japonicus,1,10
742845,2,eukaryota,55193,Malassezia,9,94
55193,1,eukaryota,76775,Malassezia restricta,9,94
5268,2,eukaryota,5269,Ustilago,1,10
5269,1,eukaryota,5270,Ustilago maydis,1,10
27970,2,eukaryota,27971,Enterocytozoon,2,21
27971,1,eukaryota,646526,Enterocytozoon hepatopenaei,2,21
4806,2,eukaryota,28581,Allomyces,2,21
28581,1,eukaryota,28583,Allomyces macrogynus,2,21
33677,2,eukaryota,5754,Acanthamoeba,23,241
5754,1,eukaryota,65661,Acanthamoeba healyi,9,94
5754,1,eukaryota,29196,Acanthamoeba lenticulata,4,42
5754,1,eukaryota,61605,Acanthamoeba lugdunensis,1,10
5654,2,eukaryota,5690,Trypanosoma,2,21
5690,2,eukaryota,47570,Schizotrypanum,2,21
47570,1,eukaryota,5693,Trypanosoma cruzi,2,21
5708,2,eukaryota,5712,Bodo,1,10
5712,1,eukaryota,75058,Bodo saltans,1,10
