parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
5799,2,eukaryota,5800,Eimeria,18,2
5800,1,eukaryota,5804,Eimeria maxima,14,2
5800,1,eukaryota,51316,Eimeria praecox,2,0
5800,1,eukaryota,5802,Eimeria tenella,1,0
5800,1,eukaryota,84963,Eimeria falciformis,1,0
5809,2,eukaryota,5810,Toxoplasma,5,0
5810,1,eukaryota,5811,Toxoplasma gondii,5,0
5809,2,eukaryota,242060,Cystoisospora,2,0
242060,1,eukaryota,483139,Cystoisospora suis,2,0
35088,2,eukaryota,35089,Gregarina,1,0
35089,1,eukaryota,110365,Gregarina niphandrodes,1,0
1639119,2,eukaryota,5820,Plasmodium,2,0
5820,2,eukaryota,418103,Plasmodium (Plasmodium),2,0
2605701,2,eukaryota,505692,Chromera,2,0
505692,1,eukaryota,505693,Chromera velia,2,0
4777,2,eukaryota,4783,Phytophthora,6,0
4783,1,eukaryota,67593,Phytophthora sojae,1,0
4782,2,eukaryota,1448052,Globisporangium,1,0
1448052,1,eukaryota,2052682,Globisporangium ultimum,1,0
33677,2,eukaryota,5754,Acanthamoeba,13,1
5754,1,eukaryota,5755,Acanthamoeba castellanii,4,0
5754,1,eukaryota,29196,Acanthamoeba lenticulata,1,0
5754,1,eukaryota,32600,Acanthamoeba royreba,1,0
5754,1,eukaryota,61605,Acanthamoeba lugdunensis,1,0
110618,2,eukaryota,5506,Fusarium,1,0
5506,2,eukaryota,171631,Fusarium oxysporum species complex,1,0
171631,1,eukaryota,5507,Fusarium oxysporum,1,0
5152,2,eukaryota,29907,Sporothrix,1,0
28983,2,eukaryota,5179,Sclerotinia,1,0
5179,1,eukaryota,5180,Sclerotinia sclerotiorum,1,0
299071,2,eukaryota,5036,Histoplasma,2,0
5036,1,eukaryota,5037,Histoplasma capsulatum,2,0
1535325,2,eukaryota,5475,Candida,1,0
5475,1,eukaryota,5480,Candida parapsilosis,1,0
742845,2,eukaryota,55193,Malassezia,2,0
55193,1,eukaryota,76775,Malassezia restricta,2,0
36751,2,eukaryota,1129544,Rhizophagus,3,0
1129544,1,eukaryota,588596,Rhizophagus irregularis,3,0
1286322,2,eukaryota,5658,Leishmania,3,0
5658,2,eukaryota,37616,Viannia,3,0
37616,2,eukaryota,38579,Leishmania guyanensis species complex,2,0
38579,1,eukaryota,5679,Leishmania panamensis,2,0
37616,2,eukaryota,37617,Leishmania braziliensis species complex,1,0
37617,1,eukaryota,5660,Leishmania braziliensis,1,0
5654,2,eukaryota,5690,Trypanosoma,2,0
5690,2,eukaryota,669453,Trypanosoma with unspecified subgenus,1,0
669453,1,eukaryota,71804,Trypanosoma grayi,1,0
