parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
5799,2,eukaryota,5800,Eimeria,1779,4125
5800,1,eukaryota,5804,Eimeria maxima,1620,3756
5800,1,eukaryota,51315,Eimeria necatrix,81,187
5800,1,eukaryota,51314,Eimeria brunetti,38,88
5800,1,eukaryota,5801,Eimeria acervulina,31,71
5800,1,eukaryota,44415,Eimeria mitis,4,9
5800,1,eukaryota,51316,Eimeria praecox,1,2
5800,1,eukaryota,84963,Eimeria falciformis,1,2
5799,2,eukaryota,44417,Cyclospora,26,60
44417,1,eukaryota,88456,Cyclospora cayetanensis,26,60
5809,2,eukaryota,5810,Toxoplasma,246,570
5810,1,eukaryota,5811,Toxoplasma gondii,246,570
5809,2,eukaryota,5812,Sarcocystis,14,32
5812,1,eukaryota,42890,Sarcocystis neurona,14,32
5809,2,eukaryota,242060,Cystoisospora,6,13
242060,1,eukaryota,483139,Cystoisospora suis,6,13
5809,2,eukaryota,29175,Neospora,3,6
29175,1,eukaryota,29176,Neospora caninum,3,6
1639119,2,eukaryota,5820,Plasmodium,44,102
5820,2,eukaryota,418103,Plasmodium (Plasmodium),40,92
418103,1,eukaryota,5855,Plasmodium vivax,32,74
418103,1,eukaryota,5857,Plasmodium fragile,2,4
418103,1,eukaryota,52288,Plasmodium inui,2,4
5820,1,eukaryota,208452,Plasmodium coatneyi,1,2
5820,2,eukaryota,418107,Plasmodium (Laverania),1,2
418107,1,eukaryota,720590,Plasmodium sp. DRC-Itaito,1,2
32594,2,eukaryota,5864,Babesia,16,37
5864,1,eukaryota,5868,Babesia microti,12,27
5864,1,eukaryota,5865,Babesia bovis,2,4
27994,2,eukaryota,5873,Theileria,4,9
5873,1,eukaryota,5875,Theileria parva,2,4
5873,1,eukaryota,68886,Theileria orientalis,2,4
2605701,2,eukaryota,505692,Chromera,16,37
505692,1,eukaryota,505693,Chromera velia,16,37
2605696,2,eukaryota,1169538,Vitrella,2,4
1169538,1,eukaryota,1169539,Vitrella brassicaformis,2,4
4777,2,eukaryota,4783,Phytophthora,82,190
4783,1,eukaryota,4787,Phytophthora infestans,39,90
4783,1,eukaryota,4796,Phytophthora palmivora,16,37
4783,1,eukaryota,4792,Phytophthora parasitica,9,20
4783,1,eukaryota,4784,Phytophthora capsici,4,9
4783,1,eukaryota,67593,Phytophthora sojae,4,9
4783,1,eukaryota,164328,Phytophthora ramorum,2,4
4777,2,eukaryota,184462,Hyaloperonospora,3,6
184462,1,eukaryota,272952,Hyaloperonospora arabidopsidis,3,6
4782,2,eukaryota,1448052,Globisporangium,54,125
1448052,1,eukaryota,2052682,Globisporangium ultimum,54,125
4782,2,eukaryota,4797,Pythium,2,4
4797,1,eukaryota,65070,Pythium aphanidermatum,1,2
4797,1,eukaryota,82932,Pythium arrhenomanes,1,2
4782,2,eukaryota,795339,Phytopythium,2,4
795339,1,eukaryota,907947,Phytopythium vexans,2,4
4764,2,eukaryota,100860,Aphanomyces,41,95
100860,1,eukaryota,157072,Aphanomyces invadans,34,78
100860,1,eukaryota,112090,Aphanomyces astaci,7,16
65355,2,eukaryota,65356,Albugo,9,20
65356,1,eukaryota,653948,Albugo laibachii,6,13
65356,1,eukaryota,65357,Albugo candida,3,6
33677,2,eukaryota,5754,Acanthamoeba,602,1395
5754,1,eukaryota,65661,Acanthamoeba healyi,482,1117
5754,1,eukaryota,29196,Acanthamoeba lenticulata,20,46
5754,1,eukaryota,43142,Acanthamoeba culbertsoni,19,44
5754,1,eukaryota,28015,Acanthamoeba palestinensis,6,13
5754,1,eukaryota,196912,Acanthamoeba mauritaniensis,6,13
5754,1,eukaryota,32599,Acanthamoeba rhysodes,2,4
5754,1,eukaryota,61605,Acanthamoeba lugdunensis,2,4
5754,1,eukaryota,65658,Acanthamoeba astronyxis,2,4
5754,1,eukaryota,5755,Acanthamoeba castellanii,1,2
5754,1,eukaryota,32600,Acanthamoeba royreba,1,2
299071,2,eukaryota,5036,Histoplasma,74,171
5036,1,eukaryota,5037,Histoplasma capsulatum,74,171
33184,2,eukaryota,40411,Chrysosporium,10,23
40411,1,eukaryota,264361,Chrysosporium queenslandicum,10,23
33184,2,eukaryota,5500,Coccidioides,5,11
5500,1,eukaryota,5501,Coccidioides immitis,3,6
5500,1,eukaryota,199306,Coccidioides posadasii,1,2
1593277,2,eukaryota,38946,Paracoccidioides,2,4
38946,1,eukaryota,1048829,Paracoccidioides lutzii,2,4
1131492,2,eukaryota,5052,Aspergillus,19,44
