parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
5799,2,eukaryota,5800,Eimeria,49,3739
5800,1,eukaryota,5804,Eimeria maxima,29,2213
5800,1,eukaryota,44415,Eimeria mitis,19,1450
5800,1,eukaryota,5801,Eimeria acervulina,1,76
5799,2,eukaryota,44417,Cyclospora,1,76
44417,1,eukaryota,88456,Cyclospora cayetanensis,1,76
5809,2,eukaryota,5810,Toxoplasma,2,152
5810,1,eukaryota,5811,Toxoplasma gondii,2,152
4777,2,eukaryota,4783,Phytophthora,10,763
4783,1,eukaryota,4787,Phytophthora infestans,10,763
4764,2,eukaryota,100860,Aphanomyces,2,152
100860,1,eukaryota,157072,Aphanomyces invadans,2,152
742845,2,eukaryota,55193,Malassezia,8,610
55193,1,eukaryota,76773,Malassezia globosa,6,457
55193,1,eukaryota,76775,Malassezia restricta,2,152
1131492,2,eukaryota,70110,Penicilliopsis,1,76
70110,1,eukaryota,41063,Penicilliopsis zonata,1,76
33184,2,eukaryota,166111,Byssoonygena,1,76
166111,1,eukaryota,166112,Byssoonygena ceratinophila,1,76
33677,2,eukaryota,5754,Acanthamoeba,12,915
5754,1,eukaryota,43142,Acanthamoeba culbertsoni,12,915
5654,2,eukaryota,5690,Trypanosoma,6,457
5690,2,eukaryota,47570,Schizotrypanum,6,457
47570,1,eukaryota,5693,Trypanosoma cruzi,6,457
