parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
5799,2,eukaryota,5800,Eimeria,645,645
5800,1,eukaryota,5804,Eimeria maxima,616,616
5800,1,eukaryota,51315,Eimeria necatrix,14,14
5800,1,eukaryota,51314,Eimeria brunetti,7,7
5800,1,eukaryota,5801,Eimeria acervulina,5,5
5800,1,eukaryota,44415,Eimeria mitis,1,1
5809,2,eukaryota,5810,Toxoplasma,40,40
5810,1,eukaryota,5811,Toxoplasma gondii,40,40
5809,2,eukaryota,29175,Neospora,5,5
29175,1,eukaryota,29176,Neospora caninum,5,5
5809,2,eukaryota,5812,Sarcocystis,4,4
5812,1,eukaryota,42890,Sarcocystis neurona,4,4
35082,2,eukaryota,5806,Cryptosporidium,2,2
5806,1,eukaryota,27987,Cryptosporidium baileyi,2,2
32594,2,eukaryota,5864,Babesia,36,36
5864,1,eukaryota,5868,Babesia microti,35,35
27994,2,eukaryota,5873,Theileria,2,2
5873,1,eukaryota,5872,Theileria equi,2,2
1639119,2,eukaryota,5820,Plasmodium,23,23
5820,2,eukaryota,418103,Plasmodium (Plasmodium),23,23
418103,1,eukaryota,5855,Plasmodium vivax,13,13
418103,1,eukaryota,5857,Plasmodium fragile,6,6
418103,1,eukaryota,5827,Plasmodium cynomolgi,2,2
418103,1,eukaryota,5850,Plasmodium knowlesi,1,1
2605701,2,eukaryota,505692,Chromera,7,7
505692,1,eukaryota,505693,Chromera velia,7,7
4764,2,eukaryota,100860,Aphanomyces,100,100
100860,1,eukaryota,157072,Aphanomyces invadans,95,95
100860,1,eukaryota,112090,Aphanomyces astaci,5,5
4782,2,eukaryota,1448052,Globisporangium,52,52
1448052,1,eukaryota,2052682,Globisporangium ultimum,51,51
1448052,1,eukaryota,115417,Globisporangium iwayamae,1,1
4782,2,eukaryota,4797,Pythium,1,1
4797,1,eukaryota,82932,Pythium arrhenomanes,1,1
4777,2,eukaryota,4783,Phytophthora,41,41
4783,1,eukaryota,4792,Phytophthora parasitica,22,22
4783,1,eukaryota,4787,Phytophthora infestans,3,3
4783,1,eukaryota,164328,Phytophthora ramorum,3,3
4783,1,eukaryota,4784,Phytophthora capsici,1,1
4783,1,eukaryota,4785,Phytophthora cinnamomi,1,1
4783,1,eukaryota,4796,Phytophthora palmivora,1,1
4777,2,eukaryota,184462,Hyaloperonospora,4,4
184462,1,eukaryota,272952,Hyaloperonospora arabidopsidis,4,4
65355,2,eukaryota,65356,Albugo,5,5
65356,1,eukaryota,653948,Albugo laibachii,4,4
33677,2,eukaryota,5754,Acanthamoeba,889,889
5754,1,eukaryota,65661,Acanthamoeba healyi,509,509
5754,1,eukaryota,29196,Acanthamoeba lenticulata,35,35
5754,1,eukaryota,43142,Acanthamoeba culbertsoni,30,30
5754,1,eukaryota,61605,Acanthamoeba lugdunensis,1,1
5754,1,eukaryota,65658,Acanthamoeba astronyxis,1,1
5754,1,eukaryota,65662,Acanthamoeba pearcei,1,1
5754,1,eukaryota,196912,Acanthamoeba mauritaniensis,1,1
33084,2,eukaryota,5758,Entamoeba,1,1
5758,1,eukaryota,5759,Entamoeba histolytica,1,1
299071,2,eukaryota,5036,Histoplasma,58,58
5036,1,eukaryota,5037,Histoplasma capsulatum,56,56
33184,2,eukaryota,40411,Chrysosporium,3,3
40411,1,eukaryota,264361,Chrysosporium queenslandicum,3,3
33184,2,eukaryota,5500,Coccidioides,1,1
5500,1,eukaryota,199306,Coccidioides posadasii,1,1
1593277,2,eukaryota,38946,Paracoccidioides,1,1
38946,1,eukaryota,1048829,Paracoccidioides lutzii,1,1
1131492,2,eukaryota,5052,Aspergillus,36,36
5052,2,eukaryota,2720870,Aspergillus subgen. Nidulantes,14,14
2720870,1,eukaryota,75750,Aspergillus sydowii,11,11
2720870,1,eukaryota,46472,Aspergillus versicolor,3,3
5052,1,eukaryota,340412,Aspergillus novofumigatus,7,7
5052,2,eukaryota,2720871,Aspergillus subgen. Circumdati,4,4
2720871,1,eukaryota,5059,Aspergillus flavus,2,2
2720871,1,eukaryota,306088,Aspergillus steynii,1,1
5052,2,eukaryota,2720872,Aspergillus subgen. Fumigati,3,3
2720872,1,eukaryota,5057,Aspergillus clavatus,2,2
5052,1,eukaryota,319629,Aspergillus brasiliensis,2,2
5052,2,eukaryota,2720874,Aspergillus subgen. Aspergillus,2,2
2720874,1,eukaryota,41413,Aspergillus glaucus,2,2
5052,1,eukaryota,40993,Aspergillus carbonarius,1,1
1131492,2,eukaryota,70110,Penicilliopsis,1,1
70110,1,eukaryota,41063,Penicilliopsis zonata,1,1
28568,2,eukaryota,5094,Talaromyces,2,2
5094,2,eukaryota,2752537,Talaromyces sect. Talaromyces,2,2
2752537,1,eukaryota,37727,Talaromyces marneffei,2,2
43219,2,eukaryota,5583,Exophiala,1,1
5583,1,eukaryota,212818,Exophiala mesophila,1,1
43219,2,eukaryota,82105,Cladophialophora,1,1
82105,1,eukaryota,86049,Cladophialophora carrionii,1,1
5593,2,eukaryota,1549750,Lomentospora,13,13
1549750,1,eukaryota,41688,Lomentospora prolificans,13,13
5593,2,eukaryota,41687,Scedosporium,6,6
41687,1,eukaryota,563466,Scedosporium apiospermum,6,6
110618,2,eukaryota,5506,Fusarium,3,3
5506,2,eukaryota,171631,Fusarium oxysporum species complex,3,3
171631,1,eukaryota,5507,Fusarium oxysporum,3,3
5129,2,eukaryota,5543,Trichoderma,2,2
5543,1,eukaryota,29875,Trichoderma virens,2,2
5152,2,eukaryota,29907,Sporothrix,5,5
29907,1,eukaryota,545650,Sporothrix brasiliensis,1,1
2528436,2,eukaryota,48558,Pyricularia,4,4
48558,1,eukaryota,318829,Pyricularia oryzae,4,4
5148,2,eukaryota,5146,Sordaria,2,2
5146,1,eukaryota,5147,Sordaria macrospora,2,2
5148,2,eukaryota,5140,Neurospora,1,1
5140,1,eukaryota,40127,Neurospora tetrasperma,1,1
603431,2,eukaryota,5569,Cenococcum,4,4
5569,1,eukaryota,5570,Cenococcum geophilum,4,4
93133,2,eukaryota,1047167,Zymoseptoria,3,3
1047167,1,eukaryota,1047171,Zymoseptoria tritici,3,3
