parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
1268,2,bacteria,32207,Rothia,49399,53256
32207,1,bacteria,43675,Rothia mucilaginosa,26548,28621
32207,1,bacteria,2047,Rothia dentocariosa,15978,17225
32207,1,bacteria,172042,Rothia aeria,847,913
32207,1,bacteria,37923,Rothia kristinae,18,19
32207,1,bacteria,169480,Rothia amarae,16,17
32207,1,bacteria,396015,Rothia terrae,9,9
32207,2,bacteria,2689056,unclassified Rothia (in: high G+C Gram-positive bacteria),9,9
2689056,1,bacteria,2810516,Rothia sp. ZJ932,9,9
32207,1,bacteria,85336,Rothia nasimurium,5,5
1268,2,bacteria,1269,Micrococcus,155,167
1269,1,bacteria,1270,Micrococcus luteus,29,31
1269,2,bacteria,2620948,unclassified Micrococcus,5,5
2620948,1,bacteria,2856555,Micrococcus sp. KD337-16,3,3
2620948,1,bacteria,1179670,Micrococcus sp. KBS0714,1,1
2620948,1,bacteria,2995171,Micrococcus sp. SL257,1,1
1269,1,bacteria,566027,Micrococcus yunnanensis,1,1
1268,2,bacteria,1663,Arthrobacter,120,129
1663,2,bacteria,235627,unclassified Arthrobacter,88,94
235627,1,bacteria,2828862,Arthrobacter sp. Helios,20,21
235627,1,bacteria,290399,Arthrobacter sp. FB24,14,15
235627,1,bacteria,2991715,Arthrobacter sp. ATA002,7,7
235627,1,bacteria,2830992,Arthrobacter sp. StoSoilB5,5,5
235627,1,bacteria,2651199,Arthrobacter sp. CDRTa11,5,5
235627,1,bacteria,2830983,Arthrobacter sp. NtRootA1,4,4
235627,1,bacteria,2972479,Arthrobacter sp. CJ23,4,4
235627,1,bacteria,1849032,Arthrobacter sp. U41,3,3
235627,1,bacteria,2886935,Arthrobacter sp. zg-Y453,2,2
235627,1,bacteria,2017685,Arthrobacter sp. PM3,2,2
235627,1,bacteria,1357915,Arthrobacter sp. QXT-31,1,1
235627,1,bacteria,2879617,Arthrobacter sp. FW305-BF8,1,1
235627,1,bacteria,2830998,Arthrobacter sp. NicSoilB8,1,1
235627,1,bacteria,2830993,Arthrobacter sp. StoSoilB13,1,1
235627,1,bacteria,2879621,Arthrobacter sp. FW306-06-A,1,1
235627,1,bacteria,2997335,Arthrobacter sp. FX8,1,1
235627,1,bacteria,2575374,Arthrobacter sp. 24S4-2,1,1
1663,1,bacteria,2817475,Arthrobacter jiangjiafuii,9,9
1663,1,bacteria,2211210,Arthrobacter dokdonellae,4,4
1663,1,bacteria,2816859,Arthrobacter sunyaminii,4,4
1663,1,bacteria,2813727,Arthrobacter polaris,3,3
1663,1,bacteria,37928,Arthrobacter crystallopoietes,1,1
1663,1,bacteria,156980,Arthrobacter woluwensis,1,1
1663,1,bacteria,656366,Arthrobacter alpinus,1,1
1268,2,bacteria,57493,Kocuria,53,57
57493,2,bacteria,2649579,unclassified Kocuria,22,23
2649579,1,bacteria,2711328,Kocuria sp. TGY1127_2,22,23
57493,1,bacteria,71999,Kocuria palustris,9,9
57493,1,bacteria,1272,Kocuria varians,3,3
57493,1,bacteria,1275,Kocuria rosea,2,2
57493,1,bacteria,72000,Kocuria rhizophila,1,1
57493,1,bacteria,388357,Kocuria turfanensis,1,1
1268,2,bacteria,1160973,Auritidibacter,23,24
1160973,2,bacteria,2634694,unclassified Auritidibacter,23,24
2634694,1,bacteria,2170745,Auritidibacter sp. NML130574,23,24
1268,2,bacteria,1742993,Pseudarthrobacter,23,24
1742993,1,bacteria,121292,Pseudarthrobacter sulfonivorans,19,20
1742993,2,bacteria,2647000,unclassified Pseudarthrobacter,2,2
2647000,1,bacteria,2596911,Pseudarthrobacter sp. NBSH8,1,1
2647000,1,bacteria,2973976,Pseudarthrobacter sp. NS4,1,1
1742993,1,bacteria,361575,Pseudarthrobacter phenanthrenivorans,1,1
1742993,1,bacteria,728066,Pseudarthrobacter equi,1,1
1268,2,bacteria,1742989,Glutamicibacter,13,14
1742989,1,bacteria,162496,Glutamicibacter creatinolyticus,4,4
1742989,2,bacteria,2627139,unclassified Glutamicibacter,4,4
2627139,1,bacteria,1155384,Glutamicibacter sp. ZJUTW,2,2
2627139,1,bacteria,2989817,Glutamicibacter sp. MNS18,2,2
1742989,1,bacteria,37930,Glutamicibacter protophormiae,2,2
1742989,1,bacteria,256701,Glutamicibacter arilaitensis,1,1
1742989,1,bacteria,1933880,Glutamicibacter halophytocola,1,1
1268,2,bacteria,57494,Nesterenkonia,7,7
57494,1,bacteria,1548602,Nesterenkonia pannonica,1,1
1268,2,bacteria,1645,Renibacterium,6,6
1645,1,bacteria,1646,Renibacterium salmoninarum,6,6
1268,2,bacteria,596707,Sinomonas,4,4
596707,1,bacteria,37927,Sinomonas atrocyanea,1,1
596707,2,bacteria,2646595,unclassified Sinomonas,1,1
2646595,1,bacteria,2020377,Sinomonas sp. R1AF57,1,1
1268,2,bacteria,1742990,Paeniglutamicibacter,2,2
1742990,2,bacteria,2639426,unclassified Paeniglutamicibacter,2,2
2639426,1,bacteria,2986919,Paeniglutamicibacter sp. ZC-3,2,2
1268,2,bacteria,1868332,Neomicrococcus,2,2
1868332,1,bacteria,556325,Neomicrococcus aestuarii,2,2
1268,2,bacteria,2078575,Psychromicrobium,2,2
2078575,1,bacteria,1618207,Psychromicrobium lacuslunae,2,2
1268,2,bacteria,169133,Citricoccus,1,1
169133,2,bacteria,2632435,unclassified Citricoccus,1,1
2632435,1,bacteria,3004095,Citricoccus sp. NR2,1,1
1268,2,bacteria,1742992,Paenarthrobacter,1,1
1742992,1,bacteria,37931,Paenarthrobacter ureafaciens,1,1
85023,2,bacteria,255204,Pseudoclavibacter,108,116
255204,2,bacteria,2615177,unclassified Pseudoclavibacter,108,116
2615177,1,bacteria,2866588,Pseudoclavibacter sp. Marseille-Q3772,108,116
85023,2,bacteria,33882,Microbacterium,67,72
33882,2,bacteria,2609290,unclassified Microbacterium,24,25
2609290,1,bacteria,1938334,Microbacterium sp. TPU 3598,8,8
2609290,1,bacteria,367477,Microbacterium sp. XT11,2,2
2609290,1,bacteria,2810535,Microbacterium sp. EF45044,2,2
2609290,1,bacteria,2014534,Microbacterium sp. PM5,2,2
2609290,1,bacteria,2763257,Microbacterium sp. YJN-G,1,1
2609290,1,bacteria,2909588,Microbacterium sp. KUDC0406,1,1
2609290,1,bacteria,2909587,Microbacterium sp. KUDC0405,1,1
2609290,1,bacteria,2875948,Microbacterium sp. cx-55,1,1
