parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
31957,2,bacteria,1912216,Cutibacterium,639,299437
1912216,1,bacteria,1747,Cutibacterium acnes,499,233833
1912216,1,bacteria,2559073,Cutibacterium modestum,2,937
1912216,1,bacteria,33010,Cutibacterium avidum,1,468
85015,2,bacteria,1839,Nocardioides,1,468
1839,1,bacteria,2518371,Nocardioides seonyuensis,1,468
2049,2,bacteria,1654,Actinomyces,2,937
2049,2,bacteria,1522056,Flaviflexus,1,468
1522056,1,bacteria,2758573,Flaviflexus equikiangi,1,468
2049,2,bacteria,2529408,Schaalia,1,468
2529408,1,bacteria,1660,Schaalia odontolytica,1,468
1653,2,bacteria,1716,Corynebacterium,17,7966
1716,1,bacteria,161879,Corynebacterium kroppenstedtii,11,5154
1716,1,bacteria,38304,Corynebacterium tuberculostearicum,4,1874
1716,1,bacteria,1979527,Corynebacterium kefirresidentii,1,468
1762,2,bacteria,670516,Mycobacteroides,2,937
670516,1,bacteria,36809,Mycobacteroides abscessus,1,468
670516,1,bacteria,83262,Mycobacteroides immunogenum,1,468
85029,2,bacteria,37914,Dietzia,1,468
37914,2,bacteria,2617939,unclassified Dietzia,1,468
2617939,1,bacteria,2915130,Dietzia sp. B32,1,468
2062,2,bacteria,1883,Streptomyces,2,937
1883,2,bacteria,2593676,unclassified Streptomyces,2,937
2593676,1,bacteria,1849967,Streptomyces sp. SAT1,2,937
125316,2,bacteria,947525,Miniimonas,1,468
947525,2,bacteria,2626367,unclassified Miniimonas,1,468
2626367,1,bacteria,2171623,Miniimonas sp. S16,1,468
2070,2,bacteria,1813,Amycolatopsis,1,468
1813,2,bacteria,2618356,unclassified Amycolatopsis,1,468
2618356,1,bacteria,2745196,Amycolatopsis sp. CA-230715,1,468
90964,2,bacteria,1279,Staphylococcus,75,35145
1279,1,bacteria,1280,Staphylococcus aureus,1,468
186820,2,bacteria,1637,Listeria,1,468
1637,1,bacteria,1639,Listeria monocytogenes,1,468
1300,2,bacteria,1301,Streptococcus,8,3748
1301,1,bacteria,28037,Streptococcus mitis,8,3748
31977,2,bacteria,29465,Veillonella,1,468
1892252,2,bacteria,54304,Planktothrix,1,468
54304,1,bacteria,1160,Planktothrix agardhii,1,468
135621,2,bacteria,2901164,Stutzerimonas,487,228209
2901164,2,bacteria,136846,Stutzerimonas stutzeri group,463,216963
