parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
10508,2,viruses,10509,Mastadenovirus,6554580,939328
10509,1,viruses,108098,Human mastadenovirus B,6503277,931976
10509,1,viruses,130309,Human mastadenovirus F,8627,1236
10509,1,viruses,1962300,Simian mastadenovirus C,1528,218
10509,1,viruses,130308,Human mastadenovirus E,402,57
10509,1,viruses,129951,Human mastadenovirus C,250,35
10509,1,viruses,130310,Human mastadenovirus D,133,19
10509,1,viruses,298334,Simian mastadenovirus A,65,9
10509,1,viruses,130369,Porcine mastadenovirus A,64,9
10509,1,viruses,129875,Human mastadenovirus A,58,8
10509,1,viruses,1986018,Simian mastadenovirus E,58,8
10509,1,viruses,2170002,Simian mastadenovirus I,50,7
10509,1,viruses,1986019,Simian mastadenovirus F,44,6
10509,1,viruses,536079,Human mastadenovirus G,38,5
10509,1,viruses,2015370,Bat mastadenovirus C,28,4
10509,1,viruses,389483,Ovine mastadenovirus B,21,3
10509,1,viruses,1986024,Sea lion mastadenovirus A,12,1
10509,1,viruses,10537,Canine mastadenovirus A,9,1
10509,1,viruses,1962299,Simian mastadenovirus B,7,1
10509,1,viruses,1986017,Simian mastadenovirus D,6,0
10509,1,viruses,1986022,Platyrrhini mastadenovirus A,6,0
10509,1,viruses,1146873,Murine mastadenovirus B,5,0
10509,1,viruses,129953,Bovine mastadenovirus A,4,0
10509,1,viruses,2170003,Squirrel mastadenovirus A,2,0
10509,1,viruses,2170000,Deer mastadenovirus B,1,0
10509,1,viruses,1986021,Simian mastadenovirus H,1,0
2842319,2,viruses,2842664,Emesvirus,152173,21807
2842664,1,viruses,329852,Emesvirus zinderi,152171,21807
2501931,2,viruses,694002,Betacoronavirus,8,1
694002,2,viruses,2509511,Sarbecovirus,8,1
2509511,1,viruses,694009,Severe acute respiratory syndrome-related coronavirus,8,1
10293,2,viruses,10294,Simplexvirus,3,0
10294,1,viruses,10298,Human alphaherpesvirus 1,3,0
481,2,bacteria,482,Neisseria,22158,3175
482,1,bacteria,487,Neisseria meningitidis,9497,1361
482,1,bacteria,485,Neisseria gonorrhoeae,262,37
482,1,bacteria,488,Neisseria mucosa,69,9
482,1,bacteria,486,Neisseria lactamica,49,7
482,1,bacteria,483,Neisseria cinerea,43,6
482,1,bacteria,490,Neisseria sicca,24,3
482,2,bacteria,2623750,unclassified Neisseria,21,3
2623750,1,bacteria,641148,Neisseria sp. oral taxon 014,16,2
2623750,1,bacteria,655307,Neisseria sp. KEM232,2,0
2623750,1,bacteria,2912675,Neisseria sp. Dent CA1/247,2,0
2623750,1,bacteria,2912188,Neisseria sp. ZJ106,1,0
482,1,bacteria,28449,Neisseria subflava,8,1
482,1,bacteria,496,Neisseria macacae,7,1
482,1,bacteria,495,Neisseria elongata,6,0
482,1,bacteria,493,Neisseria canis,5,0
482,1,bacteria,484,Neisseria flavescens,3,0
482,1,bacteria,1815583,Neisseria musculi,2,0
482,1,bacteria,1853278,Neisseria chenwenguii,2,0
482,1,bacteria,326522,Neisseria animaloris,2,0
482,1,bacteria,28091,Neisseria weaveri,2,0
482,1,bacteria,492,Neisseria animalis,2,0
482,1,bacteria,267212,Neisseria bacilliformis,1,0
482,1,bacteria,326523,Neisseria zoodegmatis,1,0
482,1,bacteria,607711,Neisseria wadsworthii,1,0
481,2,bacteria,32257,Kingella,725,103
32257,1,bacteria,504,Kingella kingae,724,103
32257,1,bacteria,502,Kingella denitrificans,1,0
481,2,bacteria,538,Eikenella,4,0
538,1,bacteria,539,Eikenella corrodens,4,0
481,2,bacteria,212742,Morococcus,4,0
212742,1,bacteria,1056807,Morococcus cerebrosus,4,0
481,2,bacteria,59,Vitreoscilla,2,0
481,2,bacteria,71,Simonsiella,2,0
71,1,bacteria,72,Simonsiella muelleri,2,0
481,2,bacteria,2593687,Aquella,1,0
2593687,1,bacteria,2067065,Aquella oligotrophica,1,0
481,2,bacteria,2898489,Paralysiella,1,0
2898489,1,bacteria,2809020,Paralysiella testudinis,1,0
90153,2,bacteria,535,Chromobacterium,4,0
535,2,bacteria,2641838,unclassified Chromobacterium,4,0
2641838,1,bacteria,2059672,Chromobacterium sp. ATCC 53434,4,0
1499392,2,bacteria,400060,Paludibacterium,2,0
400060,1,bacteria,1225769,Paludibacterium paludis,2,0
1499392,2,bacteria,407217,Aquitalea,1,0
407217,1,bacteria,519081,Aquitalea denitrificans,1,0
119060,2,bacteria,32008,Burkholderia,3706,531
32008,2,bacteria,87882,Burkholderia cepacia complex,1460,209
87882,1,bacteria,101571,Burkholderia ubonensis,263,37
87882,1,bacteria,179879,Burkholderia anthina,196,28
87882,1,bacteria,87883,Burkholderia multivorans,71,10
87882,1,bacteria,152480,Burkholderia ambifaria,39,5
87882,1,bacteria,1503054,Burkholderia stagnalis,18,2
87882,1,bacteria,95486,Burkholderia cenocepacia,18,2
87882,1,bacteria,60550,Burkholderia pyrrocinia,16,2
87882,1,bacteria,152500,Burkholderia dolosa,12,1
87882,1,bacteria,488731,Burkholderia seminalis,11,1
87882,1,bacteria,95485,Burkholderia stabilis,10,1
87882,1,bacteria,1503055,Burkholderia territorii,8,1
87882,1,bacteria,1207504,Burkholderia pseudomultivorans,8,1
87882,1,bacteria,60552,Burkholderia vietnamiensis,8,1
87882,1,bacteria,488447,Burkholderia contaminans,7,1
87882,1,bacteria,292,Burkholderia cepacia,6,0
87882,1,bacteria,482957,Burkholderia lata,6,0
87882,1,bacteria,488729,Burkholderia metallica,2,0
87882,1,bacteria,488730,Burkholderia arboris,1,0
32008,2,bacteria,111527,pseudomallei group,104,14
111527,1,bacteria,57975,Burkholderia thailandensis,40,5
111527,1,bacteria,1385591,Burkholderia mayonis,26,3
