parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
481,2,bacteria,482,Neisseria,240543,157703
482,1,bacteria,488,Neisseria mucosa,60484,39654
482,1,bacteria,490,Neisseria sicca,41517,27219
482,1,bacteria,487,Neisseria meningitidis,27050,17734
482,1,bacteria,484,Neisseria flavescens,26908,17641
482,1,bacteria,28449,Neisseria subflava,20654,13541
482,1,bacteria,496,Neisseria macacae,3098,2031
482,2,bacteria,2623750,unclassified Neisseria,2614,1713
2623750,1,bacteria,641148,Neisseria sp. oral taxon 014,2147,1407
2623750,1,bacteria,2912188,Neisseria sp. ZJ106,136,89
2623750,1,bacteria,2709396,Neisseria sp. ZJ785,132,86
2623750,1,bacteria,2912675,Neisseria sp. Dent CA1/247,105,68
2623750,1,bacteria,655307,Neisseria sp. KEM232,93,60
482,1,bacteria,495,Neisseria elongata,1738,1139
482,1,bacteria,326522,Neisseria animaloris,1002,656
482,1,bacteria,483,Neisseria cinerea,785,514
482,1,bacteria,485,Neisseria gonorrhoeae,727,476
482,1,bacteria,486,Neisseria lactamica,725,475
482,1,bacteria,492,Neisseria animalis,378,247
482,1,bacteria,2666100,Neisseria brasiliensis,357,234
482,1,bacteria,1853276,Neisseria weixii,262,171
482,1,bacteria,1853278,Neisseria chenwenguii,197,129
482,1,bacteria,493,Neisseria canis,185,121
482,1,bacteria,267212,Neisseria bacilliformis,107,70
482,1,bacteria,640030,Neisseria zalophi,60,39
482,1,bacteria,194197,Neisseria dentiae,59,38
482,1,bacteria,607711,Neisseria wadsworthii,58,38
482,1,bacteria,1470200,Neisseria arctica,56,36
482,1,bacteria,1931275,Neisseria dumasiana,48,31
482,1,bacteria,607712,Neisseria shayeganii,23,15
482,1,bacteria,28091,Neisseria weaveri,18,11
482,1,bacteria,1815583,Neisseria musculi,12,7
482,1,bacteria,326523,Neisseria zoodegmatis,6,3
481,2,bacteria,538,Eikenella,5622,3685
538,1,bacteria,539,Eikenella corrodens,4911,3219
538,1,bacteria,2528037,Eikenella exigua,310,203
481,2,bacteria,32257,Kingella,343,224
32257,1,bacteria,504,Kingella kingae,153,100
32257,1,bacteria,505,Kingella oralis,125,81
32257,1,bacteria,265175,Kingella potus,38,24
32257,1,bacteria,502,Kingella denitrificans,27,17
481,2,bacteria,299568,Uruburuella,66,43
299568,1,bacteria,252130,Uruburuella suis,38,24
299568,1,bacteria,1282863,Uruburuella testudinis,26,17
481,2,bacteria,212742,Morococcus,62,40
212742,1,bacteria,1056807,Morococcus cerebrosus,62,40
481,2,bacteria,2593687,Aquella,56,36
2593687,1,bacteria,2067065,Aquella oligotrophica,56,36
481,2,bacteria,2944815,Wielerella,38,24
