parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
31957,2,bacteria,1912216,Cutibacterium,420,139767
1912216,1,bacteria,1747,Cutibacterium acnes,358,119134
31957,2,bacteria,29404,Microlunatus,17,5657
29404,1,bacteria,29405,Microlunatus phosphovorus,5,1663
29404,1,bacteria,630515,Microlunatus soli,1,332
31957,2,bacteria,2801844,Arachnia,6,1996
2801844,1,bacteria,1750,Arachnia propionica,2,665
2801844,1,bacteria,1547448,Arachnia rubra,2,665
31957,2,bacteria,1278221,Auraticoccus,2,665
1278221,1,bacteria,675864,Auraticoccus monumenti,2,665
31957,2,bacteria,1743,Propionibacterium,1,332
1743,1,bacteria,1744,Propionibacterium freudenreichii,1,332
85015,2,bacteria,1839,Nocardioides,73,24292
1839,2,bacteria,2615069,unclassified Nocardioides,21,6988
2615069,1,bacteria,2663857,Nocardioides sp. zg-579,5,1663
2615069,1,bacteria,196162,Nocardioides sp. JS614,3,998
2615069,1,bacteria,2931390,Nocardioides sp. W7,2,665
2615069,1,bacteria,2917724,Nocardioides sp. TF02-7,2,665
2615069,1,bacteria,2760705,Nocardioides sp. InS609-2,2,665
2615069,1,bacteria,2486272,Nocardioides sp. WS12,2,665
2615069,1,bacteria,2840457,Nocardioides sp. LMS-CY,1,332
2615069,1,bacteria,2898796,Nocardioides sp. cx-173,1,332
1839,1,bacteria,2872154,Nocardioides coralli,9,2995
1839,1,bacteria,2483798,Nocardioides pantholopis,5,1663
1839,1,bacteria,627624,Nocardioides panacisoli,5,1663
1839,1,bacteria,1774216,Nocardioides rotundus,4,1331
1839,1,bacteria,2712223,Nocardioides anomalus,3,998
1839,1,bacteria,2894081,Nocardioides okcheonensis,2,665
1839,1,bacteria,2558918,Nocardioides cynanchi,2,665
1839,1,bacteria,2045452,Nocardioides houyundeii,2,665
1839,1,bacteria,419476,Nocardioides marinisabuli,2,665
1839,1,bacteria,2849501,Nocardioides panacis,1,332
1839,1,bacteria,433659,Nocardioides mesophilus,1,332
1839,1,bacteria,2685869,Nocardioides ochotonae,1,332
85015,2,bacteria,86795,Marmoricola,12,3993
86795,1,bacteria,642780,Marmoricola scoriae,12,3993
85015,2,bacteria,53387,Friedmanniella,4,1331
53387,1,bacteria,546871,Friedmanniella luteola,4,1331
85015,2,bacteria,2040,Aeromicrobium,1,332
2726069,2,bacteria,182639,Kribbella,7,2329
182639,1,bacteria,182640,Kribbella flavida,2,665
182639,1,bacteria,1544730,Kribbella qitaiheensis,2,665
85021,2,bacteria,53457,Janibacter,176,58569
53457,1,bacteria,857417,Janibacter indicus,49,16306
53457,2,bacteria,2649294,unclassified Janibacter,18,5990
2649294,1,bacteria,2761047,Janibacter sp. YB324,14,4658
2649294,1,bacteria,2963431,Janibacter sp. CX7,1,332
53457,1,bacteria,262209,Janibacter melonis,1,332
1268,2,bacteria,1269,Micrococcus,32,10648
1269,2,bacteria,2620948,unclassified Micrococcus,2,665
2620948,1,bacteria,2856555,Micrococcus sp. KD337-16,2,665
1268,2,bacteria,32207,Rothia,22,7321
32207,1,bacteria,172042,Rothia aeria,22,7321
1268,2,bacteria,1663,Arthrobacter,3,998
1663,2,bacteria,235627,unclassified Arthrobacter,2,665
235627,1,bacteria,2830995,Arthrobacter sp. StoSoilB20,2,665
1663,1,bacteria,37921,Arthrobacter agilis,1,332
1268,2,bacteria,57493,Kocuria,2,665
85023,2,bacteria,33886,Rathayibacter,4,1331
33886,1,bacteria,1671680,Rathayibacter tanaceti,2,665
85023,2,bacteria,55968,Leucobacter,4,1331
55968,2,bacteria,2621730,unclassified Leucobacter,4,1331
2621730,1,bacteria,2873270,Leucobacter sp. NB 10,4,1331
85023,2,bacteria,2680004,Protaetiibacter,3,998
2680004,1,bacteria,2419774,Protaetiibacter intestinalis,3,998
85023,2,bacteria,33882,Microbacterium,1,332
33882,1,bacteria,582680,Microbacterium azadirachtae,1,332
85023,2,bacteria,235888,Salinibacterium,1,332
235888,1,bacteria,2079791,Salinibacterium hongtaonis,1,332
85016,2,bacteria,1926259,Pseudactinotalea,3,998
1926259,2,bacteria,2649176,unclassified Pseudactinotalea,3,998
2649176,1,bacteria,2654547,Pseudactinotalea sp. HY158,3,998
85016,2,bacteria,1707,Cellulomonas,2,665
1707,1,bacteria,2819979,Cellulomonas dongxiuzhuiae,2,665
85017,2,bacteria,186188,Xylanimonas,3,998
186188,1,bacteria,186189,Xylanimonas cellulosilytica,3,998
85017,2,bacteria,157920,Cellulosimicrobium,1,332
85020,2,bacteria,43668,Brachybacterium,4,1331
43668,2,bacteria,2623841,unclassified Brachybacterium,4,1331
85019,2,bacteria,1696,Brevibacterium,2,665
1696,1,bacteria,33889,Brevibacterium casei,2,665
