parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
1300,2,bacteria,1301,Streptococcus,18237,312052
1301,1,bacteria,1313,Streptococcus pneumoniae,5317,90979
1301,1,bacteria,28037,Streptococcus mitis,2529,43273
1301,2,bacteria,2608887,unclassified Streptococcus,512,8760
2608887,1,bacteria,2598453,Streptococcus sp. 116-D4,229,3918
2608887,1,bacteria,712633,Streptococcus sp. oral taxon 431,92,1574
2608887,1,bacteria,2972784,Streptococcus sp. Marseille-Q6470,36,615
2608887,1,bacteria,1902136,Streptococcus sp. NPS 308,25,427
2608887,1,bacteria,2759692,Streptococcus sp. Marseille-Q3533,22,376
2608887,1,bacteria,712623,Streptococcus sp. oral taxon 061,20,342
2608887,1,bacteria,3038077,Streptococcus sp. D7B5,15,256
2608887,1,bacteria,2576376,Streptococcus sp. 1643,15,256
2608887,1,bacteria,712624,Streptococcus sp. oral taxon 064,9,153
2608887,1,bacteria,2420310,Streptococcus sp. FDAARGOS_522,3,51
2608887,1,bacteria,1839799,Streptococcus sp. FDAARGOS_192,3,51
2608887,1,bacteria,2610896,Streptococcus sp. LPB0220,3,51
2608887,1,bacteria,2664091,Streptococcus sp. zg-86,1,17
2608887,1,bacteria,1759399,Streptococcus sp. A12,1,17
2608887,1,bacteria,2763068,Streptococcus sp. NSJ-72,1,17
2608887,1,bacteria,3020829,Streptococcus sp. HN38,1,17
1301,1,bacteria,1303,Streptococcus oralis,367,6279
1301,1,bacteria,257758,Streptococcus pseudopneumoniae,273,4671
1301,1,bacteria,2819619,Streptococcus toyakuensis,238,4072
1301,1,bacteria,1433513,Streptococcus gwangjuense,214,3661
1301,1,bacteria,1314,Streptococcus pyogenes,188,3216
1301,1,bacteria,1304,Streptococcus salivarius,109,1865
1301,1,bacteria,1305,Streptococcus sanguinis,47,804
1301,1,bacteria,68892,Streptococcus infantis,46,787
1301,2,bacteria,671232,Streptococcus anginosus group,37,633
671232,1,bacteria,1328,Streptococcus anginosus,24,410
671232,1,bacteria,1338,Streptococcus intermedius,9,153
671232,1,bacteria,76860,Streptococcus constellatus,1,17
1301,1,bacteria,113107,Streptococcus australis,29,496
1301,1,bacteria,1318,Streptococcus parasanguinis,27,461
1301,1,bacteria,45634,Streptococcus cristatus,25,427
1301,1,bacteria,1307,Streptococcus suis,22,376
1301,1,bacteria,1302,Streptococcus gordonii,17,290
1301,1,bacteria,1501662,Streptococcus parasuis,13,222
1301,1,bacteria,1308,Streptococcus thermophilus,10,171
1301,1,bacteria,82348,Streptococcus pluranimalium,8,136
1301,1,bacteria,1329,Streptococcus canis,6,102
1301,1,bacteria,1888195,Streptococcus himalayensis,4,68
1301,1,bacteria,2021971,Streptococcus respiraculi,4,68
1301,1,bacteria,1917441,Streptococcus ruminantium,3,51
1301,1,bacteria,2686210,Streptococcus ruminicola,3,51
1301,1,bacteria,1309,Streptococcus mutans,2,34
1301,2,bacteria,119603,Streptococcus dysgalactiae group,2,34
119603,1,bacteria,1334,Streptococcus dysgalactiae,1,17
119603,1,bacteria,1336,Streptococcus equi,1,17
1301,1,bacteria,2382163,Streptococcus koreensis,2,34
1301,1,bacteria,149016,Streptococcus urinalis,2,34
1301,1,bacteria,1310,Streptococcus sobrinus,2,34
1301,1,bacteria,33040,Streptococcus milleri,2,34
1301,1,bacteria,1311,Streptococcus agalactiae,2,34
1301,1,bacteria,1345,Streptococcus ferus,2,34
1301,1,bacteria,1326,Streptococcus acidominimus,2,34
1301,1,bacteria,1343,Streptococcus vestibularis,2,34
1301,1,bacteria,1335,Streptococcus equinus,2,34
1301,1,bacteria,1341,Streptococcus ratti,2,34
1301,1,bacteria,1348,Streptococcus parauberis,2,34
1301,1,bacteria,1825069,Streptococcus marmotae,1,17
1301,1,bacteria,1814128,Streptococcus halotolerans,1,17
