parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
2842319,2,viruses,2842664,Emesvirus,2728122,950165
2842664,1,viruses,329852,Emesvirus zinderi,2727921,950095
2842664,1,viruses,329853,Emesvirus japonicum,87,30
2842319,2,viruses,2842581,Caloevirus,2,0
2842581,1,viruses,2843905,Caloevirus agradaptatum,2,0
2842319,2,viruses,2842717,Hagavirus,1,0
2842717,1,viruses,2844808,Hagavirus psychrophilum,1,0
2501931,2,viruses,694002,Betacoronavirus,3,1
694002,2,viruses,2509511,Sarbecovirus,3,1
2509511,1,viruses,694009,Severe acute respiratory syndrome-related coronavirus,3,1
119060,2,bacteria,32008,Burkholderia,8188,2851
32008,2,bacteria,87882,Burkholderia cepacia complex,2561,891
87882,1,bacteria,101571,Burkholderia ubonensis,571,198
87882,1,bacteria,87883,Burkholderia multivorans,214,74
87882,1,bacteria,95486,Burkholderia cenocepacia,132,45
87882,1,bacteria,60550,Burkholderia pyrrocinia,126,43
87882,1,bacteria,179879,Burkholderia anthina,115,40
87882,1,bacteria,488446,Burkholderia latens,110,38
87882,1,bacteria,152480,Burkholderia ambifaria,109,37
87882,1,bacteria,1207504,Burkholderia pseudomultivorans,108,37
87882,1,bacteria,488731,Burkholderia seminalis,79,27
87882,1,bacteria,95485,Burkholderia stabilis,45,15
87882,1,bacteria,292,Burkholderia cepacia,42,14
87882,1,bacteria,1503054,Burkholderia stagnalis,33,11
87882,1,bacteria,152500,Burkholderia dolosa,30,10
87882,1,bacteria,1503055,Burkholderia territorii,30,10
87882,1,bacteria,60552,Burkholderia vietnamiensis,22,7
87882,1,bacteria,488447,Burkholderia contaminans,22,7
87882,1,bacteria,482957,Burkholderia lata,13,4
87882,1,bacteria,488729,Burkholderia metallica,12,4
87882,1,bacteria,2978683,Burkholderia orbicola,11,3
87882,1,bacteria,488730,Burkholderia arboris,7,2
87882,1,bacteria,488732,Burkholderia diffusa,7,2
87882,1,bacteria,2015348,Burkholderia aenigmatica,6,2
32008,2,bacteria,2613784,unclassified Burkholderia,546,190
2613784,1,bacteria,1740163,Burkholderia sp. Bp7605,144,50
2613784,1,bacteria,1494466,Burkholderia sp. FERM BP-3421,117,40
2613784,1,bacteria,2571746,Burkholderia sp. DHOD12,56,19
2613784,1,bacteria,1637869,Burkholderia sp. MSMB0856,48,16
2613784,1,bacteria,1705310,Burkholderia sp. IDO3,30,10
2613784,1,bacteria,1637862,Burkholderia sp. LA-2-3-30-S1-D2,28,9
2613784,1,bacteria,2880219,Burkholderia sp. JSH-S8,26,9
2613784,1,bacteria,1795043,Burkholderia sp. PAMC 26561,13,4
2613784,1,bacteria,2906514,Burkholderia sp. S-53,9,3
2613784,1,bacteria,1637853,Burkholderia sp. NRF60-BP8,6,2
2613784,1,bacteria,2811788,Burkholderia sp. MS455,6,2
2613784,1,bacteria,758782,Burkholderia sp. THE68,4,1
2613784,1,bacteria,1636423,Burkholderia sp. MSMB1588,3,1
2613784,1,bacteria,1179675,Burkholderia sp. KBS0801,2,0
2613784,1,bacteria,1795874,Burkholderia sp. PAMC 28687,1,0
32008,1,bacteria,28095,Burkholderia gladioli,362,126
32008,2,bacteria,111527,pseudomallei group,309,107
111527,1,bacteria,28450,Burkholderia pseudomallei,104,36
111527,1,bacteria,1385591,Burkholderia mayonis,54,18
111527,1,bacteria,57975,Burkholderia thailandensis,38,13
111527,1,bacteria,342113,Burkholderia oklahomensis,14,4
