parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
1653,2,bacteria,1716,Corynebacterium,7981,273481
1716,1,bacteria,43769,Corynebacterium propinquum,3065,105026
1716,1,bacteria,43990,Corynebacterium segmentosum,774,26522
1716,1,bacteria,38284,Corynebacterium accolens,551,18880
1716,1,bacteria,37637,Corynebacterium pseudodiphtheriticum,168,5756
1716,1,bacteria,38290,Corynebacterium macginleyi,168,5756
1716,1,bacteria,169292,Corynebacterium aurimucosum,91,3118
1716,1,bacteria,43770,Corynebacterium striatum,48,1644
1716,1,bacteria,1979527,Corynebacterium kefirresidentii,46,1576
1716,1,bacteria,38304,Corynebacterium tuberculostearicum,33,1130
1716,1,bacteria,441500,Corynebacterium timonense,26,890
1716,1,bacteria,161879,Corynebacterium kroppenstedtii,19,651
1716,2,bacteria,2624378,unclassified Corynebacterium,17,582
2624378,1,bacteria,702967,Corynebacterium sp. NML98-0116,9,308
2624378,1,bacteria,2778078,Corynebacterium sp. FDAARGOS 1242,4,137
2624378,1,bacteria,2599641,Corynebacterium sp. sy039,2,68
2624378,1,bacteria,3017361,Corynebacterium sp. SCR221107,2,68
1716,1,bacteria,38289,Corynebacterium jeikeium,9,308
1716,1,bacteria,161896,Corynebacterium camporealensis,9,308
1716,1,bacteria,38301,Corynebacterium minutissimum,7,239
1716,1,bacteria,2675216,Corynebacterium kalinowskii,6,205
1716,1,bacteria,43768,Corynebacterium matruchotii,6,205
1716,1,bacteria,2080740,Corynebacterium yudongzhengii,6,205
1716,1,bacteria,28028,Corynebacterium flavescens,6,205
1716,1,bacteria,146827,Corynebacterium simulans,6,205
1716,1,bacteria,156978,Corynebacterium imitans,6,205
1716,1,bacteria,1404244,Corynebacterium glyciniphilum,5,171
1716,1,bacteria,203263,Corynebacterium aquilae,5,171
1716,1,bacteria,441501,Corynebacterium massiliense,5,171
1716,1,bacteria,2488819,Corynebacterium endometrii,5,171
1716,1,bacteria,1727,Corynebacterium variabile,5,171
1716,1,bacteria,35755,Corynebacterium kutscheri,5,171
1716,1,bacteria,1705,Corynebacterium stationis,4,137
1716,1,bacteria,2079234,Corynebacterium gerontici,4,137
1716,1,bacteria,1724,Corynebacterium renale,3,102
1716,1,bacteria,1232427,Corynebacterium ihumii,3,102
1716,1,bacteria,152794,Corynebacterium efficiens,3,102
1716,1,bacteria,53374,Corynebacterium coyleae,3,102
1716,1,bacteria,575200,Corynebacterium maris,3,102
1716,1,bacteria,349751,Corynebacterium marinum,3,102
1716,1,bacteria,187491,Corynebacterium glaucum,3,102
1716,1,bacteria,161899,Corynebacterium singulare,2,68
1716,1,bacteria,1717,Corynebacterium diphtheriae,2,68
1716,1,bacteria,161895,Corynebacterium phocae,2,68
1716,1,bacteria,2763010,Corynebacterium lujinxingii,2,68
1716,1,bacteria,1718,Corynebacterium glutamicum,2,68
1716,1,bacteria,1230998,Corynebacterium frankenforstense,2,68
1716,1,bacteria,2754725,Corynebacterium incognita,2,68
1716,1,bacteria,136857,Corynebacterium testudinoris,2,68
1716,1,bacteria,225326,Corynebacterium halotolerans,2,68
1716,1,bacteria,699041,Corynebacterium hindlerae,2,68
1716,1,bacteria,89154,Corynebacterium terpenotabidum,2,68
1716,1,bacteria,401472,Corynebacterium ureicelerivorans,2,68
1716,1,bacteria,39791,Corynebacterium glucuronolyticum,2,68
1716,1,bacteria,2883169,Corynebacterium uberis,1,34
1716,1,bacteria,1223514,Corynebacterium humireducens,1,34
1716,1,bacteria,2768834,Corynebacterium zhongnanshanii,1,34
1716,1,bacteria,1471400,Corynebacterium pelargi,1,34
1716,1,bacteria,2055947,Corynebacterium heidelbergense,1,34
1716,1,bacteria,2719119,Corynebacterium rouxii,1,34
1716,1,bacteria,2709394,Corynebacterium lizhenjunii,1,34
1716,1,bacteria,2675219,Corynebacterium occultum,1,34
1716,1,bacteria,2594913,Corynebacterium sanguinis,1,34
1716,1,bacteria,2487892,Corynebacterium urogenitale,1,34
1716,1,bacteria,258224,Corynebacterium resistens,1,34
1716,1,bacteria,1719,Corynebacterium pseudotuberculosis,1,34
1716,1,bacteria,1721,Corynebacterium callunae,1,34
1716,1,bacteria,1725,Corynebacterium xerosis,1,34
1716,1,bacteria,35757,Corynebacterium cystitidis,1,34
2805586,2,bacteria,1847725,Lawsonella,18,616
1847725,1,bacteria,1528099,Lawsonella clevelandensis,18,616
1762,2,bacteria,1763,Mycobacterium,3,102
1763,1,bacteria,1769,Mycobacterium leprae,1,34
1763,2,bacteria,2993898,Mycobacterium ulcerans group,1,34
2993898,1,bacteria,1781,Mycobacterium marinum,1,34
1763,1,bacteria,2943498,Candidatus Mycobacterium methanotrophicum,1,34
1762,2,bacteria,1866885,Mycolicibacterium,3,102
1866885,1,bacteria,1534349,Mycolicibacterium helvum,2,68
1866885,1,bacteria,39687,Mycolicibacterium austroafricanum,1,34
1762,2,bacteria,670516,Mycobacteroides,2,68
670516,1,bacteria,36809,Mycobacteroides abscessus,2,68
85025,2,bacteria,1827,Rhodococcus,4,137
1827,2,bacteria,2840174,Rhodococcus erythropolis group,1,34
2840174,1,bacteria,334542,Rhodococcus qingshengii,1,34
1827,2,bacteria,192944,unclassified Rhodococcus,1,34
192944,1,bacteria,2962047,Rhodococcus sp. Z13,1,34
85025,2,bacteria,1817,Nocardia,2,68
1817,1,bacteria,1824,Nocardia asteroides,1,34
1817,1,bacteria,1823,Nocardia otitidiscaviarum,1,34
85026,2,bacteria,2053,Gordonia,5,171
2053,2,bacteria,2657482,unclassified Gordonia (in: high G+C Gram-positive bacteria),4,137
2657482,1,bacteria,2811424,Gordonia sp. PDNC005,3,102
2657482,1,bacteria,2059875,Gordonia sp. YC-JH1,1,34
2053,1,bacteria,2420509,Gordonia insulae,1,34
85029,2,bacteria,37914,Dietzia,2,68
37914,1,bacteria,499555,Dietzia timorensis,2,68
31957,2,bacteria,1912216,Cutibacterium,886,30360
1912216,1,bacteria,1747,Cutibacterium acnes,773,26488
1912216,1,bacteria,33011,Cutibacterium granulosum,21,719
1912216,1,bacteria,33010,Cutibacterium avidum,8,274
1912216,1,bacteria,2559073,Cutibacterium modestum,7,239
31957,2,bacteria,2801844,Arachnia,2,68
2801844,1,bacteria,1750,Arachnia propionica,2,68
85015,2,bacteria,1839,Nocardioides,5,171
1839,2,bacteria,2615069,unclassified Nocardioides,3,102
2615069,1,bacteria,2840457,Nocardioides sp. LMS-CY,1,34
2615069,1,bacteria,2662361,Nocardioides sp. dk884,1,34
1839,1,bacteria,2849501,Nocardioides panacis,1,34
1839,1,bacteria,1804624,Nocardioides baekrokdamisoli,1,34
1268,2,bacteria,1269,Micrococcus,13,445
1269,1,bacteria,1270,Micrococcus luteus,6,205
1268,2,bacteria,32207,Rothia,8,274
32207,1,bacteria,43675,Rothia mucilaginosa,8,274
1268,2,bacteria,57494,Nesterenkonia,3,102
57494,2,bacteria,2629769,unclassified Nesterenkonia,1,34
2629769,1,bacteria,2600320,Nesterenkonia sp. NBAIMH1,1,34
1268,2,bacteria,57493,Kocuria,2,68
57493,1,bacteria,72000,Kocuria rhizophila,2,68
1268,2,bacteria,1742989,Glutamicibacter,2,68
85023,2,bacteria,33882,Microbacterium,3,102
85023,2,bacteria,256818,Gulosibacter,2,68
256818,1,bacteria,256821,Gulosibacter molinativorax,2,68
85023,2,bacteria,55968,Leucobacter,2,68
55968,2,bacteria,2621730,unclassified Leucobacter,2,68
2621730,1,bacteria,2813744,Leucobacter sp. CX169,2,68
85019,2,bacteria,1696,Brevibacterium,4,137
1696,2,bacteria,2614124,unclassified Brevibacterium,1,34
2614124,1,bacteria,2909672,Brevibacterium sp. WHS-Z9,1,34
85017,2,bacteria,254250,Isoptericola,2,68
254250,1,bacteria,139208,Isoptericola variabilis,2,68
85021,2,bacteria,53457,Janibacter,2,68
53457,1,bacteria,262209,Janibacter melonis,2,68
85020,2,bacteria,36739,Dermabacter,1,34
36739,1,bacteria,1630135,Dermabacter vaginalis,1,34
145357,2,bacteria,57495,Dermacoccus,1,34
2049,2,bacteria,1654,Actinomyces,10,342
1654,1,bacteria,544580,Actinomyces oris,3,102
1654,2,bacteria,2609248,unclassified Actinomyces,3,102
2609248,1,bacteria,712116,Actinomyces sp. oral taxon 169,3,102
1654,1,bacteria,1656,Actinomyces viscosus,2,68
1654,1,bacteria,1655,Actinomyces naeslundii,1,34
2049,2,bacteria,2529408,Schaalia,5,171
2529408,1,bacteria,131110,Schaalia radingae,4,137
2529408,1,bacteria,181487,Schaalia cardiffensis,1,34
2062,2,bacteria,1883,Streptomyces,8,274
1883,2,bacteria,2593676,unclassified Streptomyces,5,171
2593676,1,bacteria,2099583,Streptomyces sp. ICC1,2,68
2593676,1,bacteria,2981134,Streptomyces sp. HUAS 13-4,2,68
2593676,1,bacteria,2913412,Streptomyces sp. CB09030,1,34
1883,1,bacteria,1969,Streptomyces chartreusis,1,34
1883,1,bacteria,67351,Streptomyces californicus,1,34
83676,2,bacteria,83677,Thermobifida,7,239
2070,2,bacteria,1847,Pseudonocardia,2,68
1847,2,bacteria,2619320,unclassified Pseudonocardia,1,34
2070,2,bacteria,1813,Amycolatopsis,1,34
1813,2,bacteria,2618356,unclassified Amycolatopsis,1,34
2618356,1,bacteria,2932773,Amycolatopsis sp. WQ 127309,1,34
2070,2,bacteria,165301,Lentzea,1,34
31953,2,bacteria,2701,Gardnerella,2,68
28056,2,bacteria,1873,Micromonospora,1,34
28056,2,bacteria,673534,Plantactinospora,1,34
673534,2,bacteria,2631981,unclassified Plantactinospora,1,34
84997,2,bacteria,42255,Rubrobacter,2,68
42255,1,bacteria,2653851,Rubrobacter tropicus,2,68
1643826,2,bacteria,2981344,Xiamenia,1,34
2981344,1,bacteria,2682776,Xiamenia xianingshaonis,1,34
186828,2,bacteria,29393,Dolosigranulum,1078,36939
29393,1,bacteria,29394,Dolosigranulum pigrum,1078,36939
1300,2,bacteria,1301,Streptococcus,35,1199
1301,1,bacteria,1303,Streptococcus oralis,7,239
1301,1,bacteria,1313,Streptococcus pneumoniae,7,239
1301,1,bacteria,28037,Streptococcus mitis,6,205
1301,1,bacteria,2819619,Streptococcus toyakuensis,2,68
1301,1,bacteria,1311,Streptococcus agalactiae,1,34
1301,1,bacteria,684066,Streptococcus lactarius,1,34
81852,2,bacteria,1350,Enterococcus,2,68
1350,1,bacteria,1352,Enterococcus faecium,2,68
33958,2,bacteria,46255,Weissella,1,34
46255,1,bacteria,1631871,Weissella jogaejeotgali,1,34
90964,2,bacteria,1279,Staphylococcus,487,16687
1279,1,bacteria,1280,Staphylococcus aureus,72,2467
1279,1,bacteria,1282,Staphylococcus epidermidis,65,2227
1279,1,bacteria,28035,Staphylococcus lugdunensis,5,171
1279,1,bacteria,29388,Staphylococcus capitis,4,137
1279,1,bacteria,29378,Staphylococcus arlettae,3,102
1279,2,bacteria,91994,unclassified Staphylococcus,2,68
91994,1,bacteria,2836367,Staphylococcus sp. MZ9,2,68
1279,1,bacteria,308354,Staphylococcus simiae,2,68
1279,1,bacteria,29379,Staphylococcus auricularis,1,34
1279,1,bacteria,1290,Staphylococcus hominis,1,34
90964,2,bacteria,2803850,Mammaliicoccus,1,34
2803850,1,bacteria,71237,Mammaliicoccus vitulinus,1,34
186817,2,bacteria,2837511,Sutcliffiella,2,68
186817,2,bacteria,482460,Sediminibacillus,1,34
482460,1,bacteria,2729421,Sediminibacillus dalangtanensis,1,34
186820,2,bacteria,1637,Listeria,2,68
1637,1,bacteria,1639,Listeria monocytogenes,2,68
1570339,2,bacteria,162289,Peptoniphilus,4,137
162289,1,bacteria,54005,Peptoniphilus harei,2,68
162289,2,bacteria,2637196,unclassified Peptoniphilus,2,68
2637196,1,bacteria,2948573,Peptoniphilus sp. SAHP1,2,68
1570339,2,bacteria,150022,Finegoldia,2,68
150022,1,bacteria,1260,Finegoldia magna,2,68
1570339,2,bacteria,165779,Anaerococcus,2,68
165779,1,bacteria,1870984,Anaerococcus mediterraneensis,1,34
31977,2,bacteria,29465,Veillonella,4,137
