parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
2842319,2,viruses,2842664,Emesvirus,6420270,988595
2842664,1,viruses,329852,Emesvirus zinderi,6420181,988582
2842664,1,viruses,329853,Emesvirus japonicum,22,3
2842319,2,viruses,2842717,Hagavirus,2,0
2842717,1,viruses,2844808,Hagavirus psychrophilum,2,0
2731619,2,viruses,2733216,Terapinvirus,1,0
119060,2,bacteria,32008,Burkholderia,4942,760
32008,2,bacteria,87882,Burkholderia cepacia complex,2152,331
87882,1,bacteria,101571,Burkholderia ubonensis,370,56
87882,1,bacteria,87883,Burkholderia multivorans,198,30
87882,1,bacteria,1503054,Burkholderia stagnalis,132,20
87882,1,bacteria,95486,Burkholderia cenocepacia,121,18
87882,1,bacteria,60550,Burkholderia pyrrocinia,103,15
87882,1,bacteria,179879,Burkholderia anthina,100,15
87882,1,bacteria,292,Burkholderia cepacia,58,8
87882,1,bacteria,488731,Burkholderia seminalis,49,7
87882,1,bacteria,152480,Burkholderia ambifaria,48,7
87882,1,bacteria,488447,Burkholderia contaminans,38,5
87882,1,bacteria,95485,Burkholderia stabilis,33,5
87882,1,bacteria,1503055,Burkholderia territorii,33,5
87882,1,bacteria,488729,Burkholderia metallica,16,2
87882,1,bacteria,488732,Burkholderia diffusa,14,2
87882,1,bacteria,482957,Burkholderia lata,11,1
87882,1,bacteria,60552,Burkholderia vietnamiensis,11,1
87882,1,bacteria,1207504,Burkholderia pseudomultivorans,8,1
87882,1,bacteria,2978683,Burkholderia orbicola,6,0
87882,1,bacteria,488730,Burkholderia arboris,2,0
87882,1,bacteria,152500,Burkholderia dolosa,2,0
87882,1,bacteria,2015348,Burkholderia aenigmatica,1,0
32008,2,bacteria,2613784,unclassified Burkholderia,358,55
2613784,1,bacteria,1740163,Burkholderia sp. Bp7605,101,15
2613784,1,bacteria,1494466,Burkholderia sp. FERM BP-3421,71,10
2613784,1,bacteria,1637862,Burkholderia sp. LA-2-3-30-S1-D2,40,6
2613784,1,bacteria,2571746,Burkholderia sp. DHOD12,34,5
2613784,1,bacteria,1705310,Burkholderia sp. IDO3,28,4
2613784,1,bacteria,1637869,Burkholderia sp. MSMB0856,23,3
2613784,1,bacteria,1637853,Burkholderia sp. NRF60-BP8,16,2
2613784,1,bacteria,2906514,Burkholderia sp. S-53,12,1
2613784,1,bacteria,2811788,Burkholderia sp. MS455,12,1
2613784,1,bacteria,1795043,Burkholderia sp. PAMC 26561,5,0
2613784,1,bacteria,2217913,Burkholderia sp. JP2-270,3,0
2613784,1,bacteria,1795874,Burkholderia sp. PAMC 28687,2,0
2613784,1,bacteria,2811789,Burkholderia sp. MS389,2,0
32008,2,bacteria,111527,pseudomallei group,256,39
111527,1,bacteria,28450,Burkholderia pseudomallei,51,7
111527,1,bacteria,1385591,Burkholderia mayonis,50,7
111527,1,bacteria,57975,Burkholderia thailandensis,22,3
111527,1,bacteria,342113,Burkholderia oklahomensis,9,1
111527,1,bacteria,13373,Burkholderia mallei,3,0
111527,1,bacteria,1636423,Burkholderia sp. MSMB1588,2,0
111527,1,bacteria,1637837,Burkholderia savannae,2,0
32008,1,bacteria,28095,Burkholderia gladioli,187,28
32008,1,bacteria,337,Burkholderia glumae,40,6
32008,1,bacteria,41899,Burkholderia plantarii,19,2
32008,1,bacteria,2615214,Burkholderia perseverans,17,2
119060,2,bacteria,1822464,Paraburkholderia,645,99
