parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,bracken_classified_reads,nt_rpm
1269,1,bacteria,1273,Micrococcus lylae,8639,8712,8712
1269,1,bacteria,1270,Micrococcus luteus,6623,8413,8413
2620948,1,bacteria,3101753,Micrococcus sp. HOU1,16,25,25
2620948,1,bacteria,1179670,Micrococcus sp. KBS0714,3,6,6
2620948,1,bacteria,2995171,Micrococcus sp. SL257,3,9,9
2620948,1,bacteria,3142261,Micrococcus sp. 2A,3,3,3
1269,1,bacteria,566027,Micrococcus yunnanensis,12,25,25
1269,1,bacteria,2856555,Micrococcus porci,2,2,2
1269,1,bacteria,574650,Micrococcus terreus,1,1,1
32207,1,bacteria,43675,Rothia mucilaginosa,7529,7559,7559
32207,1,bacteria,2047,Rothia dentocariosa,568,573,573
32207,1,bacteria,172042,Rothia aeria,5,5,5
32207,1,bacteria,85336,Rothia nasimurium,2,2,2
32207,1,bacteria,37923,Rothia kristinae,1,1,1
2689056,1,bacteria,2810516,Rothia sp. ZJ932,1,1,1
235627,1,bacteria,1357915,Arthrobacter sp. QXT-31,4,4,4
235627,1,bacteria,2828862,Arthrobacter sp. Helios,4,4,4
235627,1,bacteria,2879617,Arthrobacter sp. FW305-BF8,2,2,2
235627,1,bacteria,2017685,Arthrobacter sp. PM3,2,2,2
235627,1,bacteria,2991715,Arthrobacter sp. ATA002,2,2,2
235627,1,bacteria,904039,Arthrobacter sp. NEB 688,2,2,2
235627,1,bacteria,2830983,Arthrobacter sp. NtRootA1,2,2,2
235627,1,bacteria,2894187,Arthrobacter sp. zg-Y919,1,1,1
235627,1,bacteria,2651199,Arthrobacter sp. CDRTa11,1,1,1
235627,1,bacteria,1118963,Arthrobacter sp. Rue61a,1,1,1
235627,1,bacteria,2987701,Arthrobacter sp. YA7-1,1,1,1
235627,1,bacteria,2830992,Arthrobacter sp. StoSoilB5,1,1,1
235627,1,bacteria,2886932,Arthrobacter sp. zg-Y1110,1,1,1
235627,1,bacteria,2575374,Arthrobacter sp. 24S4-2,1,1,1
1663,1,bacteria,37921,Arthrobacter agilis,7,7,7
1663,1,bacteria,2211210,Arthrobacter dokdonellae,1,1,1
1663,1,bacteria,1670,Arthrobacter citreus,1,1,1
1663,1,bacteria,156980,Arthrobacter woluwensis,1,1,1
1663,1,bacteria,37928,Arthrobacter crystallopoietes,1,1,1
1742991,1,bacteria,98671,Pseudoglutamicibacter albus,6,6,6
2639426,1,bacteria,2986919,Paeniglutamicibacter sp. ZC-3,3,3,3
2639426,1,bacteria,2853258,Paeniglutamicibacter sp. Y32M11,1,1,1
57493,1,bacteria,71999,Kocuria palustris,3,4,4
1742993,1,bacteria,85085,Pseudarthrobacter chlorophenolicus,2,2,2
1742993,1,bacteria,1671,Pseudarthrobacter oxydans,1,1,1
2647000,1,bacteria,2596911,Pseudarthrobacter sp. NBSH8,1,1,1
2646595,1,bacteria,2020377,Sinomonas sp. R1AF57,3,3,3
2078575,1,bacteria,1618207,Psychromicrobium lacuslunae,3,3,3
1742989,1,bacteria,1933880,Glutamicibacter halophytocola,1,3,3
2634190,1,bacteria,2979324,Paenarthrobacter sp. JL.01a,2,2,2
2632435,1,bacteria,3073268,Citricoccus sp. I39-566,1,1,1
2609290,1,bacteria,2875948,Microbacterium sp. cx-55,2,2,2
2609290,1,bacteria,367477,Microbacterium sp. XT11,1,1,1
2609290,1,bacteria,3135260,Microbacterium sp. LWH13-1.2,1,1,1
2609290,1,bacteria,1906274,Microbacterium sp. JZ31,1,1,1
33882,1,bacteria,3079935,Microbacterium limosum,3,5,5
33882,1,bacteria,273677,Microbacterium oleivorans,1,1,1
33882,1,bacteria,2509458,Microbacterium protaetiae,1,1,1
33882,1,bacteria,2541726,Microbacterium wangchenii,1,1,1
33882,1,bacteria,2708079,Microbacterium fandaimingii,1,1,1
33882,1,bacteria,344163,Microbacterium terricola,1,1,1
33882,1,bacteria,2909587,Microbacterium elymi,1,1,1
33882,1,bacteria,57043,Microbacterium esteraromaticum,1,1,1
33882,1,bacteria,69367,Microbacterium luteolum,1,1,1
33882,1,bacteria,2851649,Microbacterium sufflavum,1,1,1
55968,1,bacteria,2714934,Leucobacter insecticola,5,5,5
55968,1,bacteria,1935379,Leucobacter muris,1,1,1
55968,1,bacteria,2932245,Leucobacter rhizosphaerae,1,1,1
1573,1,bacteria,28447,Clavibacter michiganensis,1,2,2
2626594,1,bacteria,2860285,Clavibacter sp. A6099,1,3,3
33877,1,bacteria,659012,Agromyces soli,2,3,3
33877,1,bacteria,589382,Agromyces flavus,1,1,1
33877,1,bacteria,1389020,Agromyces marinus,1,1,1
2639701,1,bacteria,2932244,Agromyces sp. H17E-10,1,1,1
2680004,1,bacteria,2592654,Protaetiibacter larvae,2,3,3
2680006,1,bacteria,2759943,Protaetiibacter sp. SSC-01,2,3,3
2649013,1,bacteria,1897061,Cryobacterium sp. SO1,4,4,4
2623385,1,bacteria,2986279,Aurantimicrobium sp. INA4,3,4,4
33886,1,bacteria,1891671,Rathayibacter oskolensis,1,3,3
529883,1,bacteria,529884,Rhodoluna lacicola,2,2,2
427753,1,bacteria,2599293,Humibacter ginsenosidimutans,2,3,3
257496,1,bacteria,2841594,Curtobacterium sp. L6-1,1,1,1
2620057,1,bacteria,3143537,Diaminobutyricibacter sp. McL0608,1,1,1
1195526,1,bacteria,2419771,Gryllotalpicola protaetiae,1,1,1
518733,1,bacteria,412690,Microterricola viridarii,1,1,1
2630066,1,bacteria,2772253,Chryseoglobus sp. 28M-23,1,1,1
256818,1,bacteria,256821,Gulosibacter molinativorax,1,2,2
120212,1,bacteria,2895559,Subtercola endophyticus,1,1,1
2615177,1,bacteria,2866588,Pseudoclavibacter sp. Marseille-Q3772,1,1,1
2663824,1,bacteria,1798223,Leifsonia sp. 21MFCrub1.1,1,1,1
2614124,1,bacteria,2777556,Brevibacterium sp. SMBL_HHYL_HB1,3,3,3
2614124,1,bacteria,2575923,Brevibacterium sp. CS2,1,1,1
2614124,1,bacteria,2999062,Brevibacterium sp. BRM-1,1,1,1
2614124,1,bacteria,3020906,Brevibacterium sp. BDJS002,1,1,1
1696,1,bacteria,273384,Brevibacterium aurantiacum,5,6,6
1696,1,bacteria,358099,Brevibacterium oceani,2,2,2
1696,1,bacteria,629680,Brevibacterium sandarakinum,2,2,2
1696,1,bacteria,2898795,Brevibacterium zhoupengii,1,1,1
1707,1,bacteria,1711,Cellulomonas flavigena,3,3,3
1707,1,bacteria,11,Cellulomonas gilvus,2,2,2
1707,1,bacteria,2566013,Cellulomonas shaoxiangyii,2,2,2
1707,1,bacteria,1708,Cellulomonas fimi,1,1,1
1707,1,bacteria,2968085,Cellulomonas wangsupingiae,1,1,1
2619021,1,bacteria,1179673,Oerskovia sp. KBS0722,2,2,2
2623841,1,bacteria,1903186,Brachybacterium sp. P6-10-X1,3,3,3
43668,1,bacteria,1652028,Brachybacterium huguangmaarense,1,1,1
36739,1,bacteria,1630135,Dermabacter vaginalis,2,3,3
472568,1,bacteria,472569,Devriesea agamarum,3,3,3
2663846,1,bacteria,1658671,Arsenicicoccus sp. oral taxon 190,4,4,4
53457,1,bacteria,262209,Janibacter melonis,1,3,3
53357,1,bacteria,53358,Intrasporangium calvum,2,2,2
2630222,1,bacteria,3108389,Terrabacter sp. C0L_2,1,1,1
2637926,1,bacteria,2714941,Phycicoccus sp. HDW14,1,1,1
626119,1,bacteria,2779775,Ruania alkalisoli,6,6,6
626119,1,bacteria,2897773,Ruania halotolerans,2,2,2
2828348,1,bacteria,2675754,Occultella kanbiaonis,2,2,2
2626815,1,bacteria,3120520,Georgenia sp. M64,2,3,3
2626815,1,bacteria,2917725,Georgenia sp. TF02-10,1,1,1
154116,1,bacteria,2483799,Georgenia faecalis,2,2,2
154116,1,bacteria,2589797,Georgenia yuyongxinii,1,1,1
2620311,1,bacteria,2881056,Demequina sp. TMPB413,6,6,6
577469,1,bacteria,1930058,Demequina sediminis,1,1,1
1862,1,bacteria,1863,Dermatophilus congolensis,5,5,5
157920,1,bacteria,1710,Cellulosimicrobium cellulans,1,2,2
2623355,1,bacteria,3024246,Isoptericola sp. AK164,2,2,2
2643059,1,bacteria,2762331,Dermacoccus sp. PAMC28757,2,2,2
2649892,1,bacteria,2770551,Yimella sp. cx-51,1,1,1
265976,1,bacteria,767452,Serinicoccus chungangensis,1,2,2
2645534,1,bacteria,2714931,Sanguibacter sp. HDW7,1,1,1
2645534,1,bacteria,3030830,Sanguibacter sp. 4.1,1,1,1
84756,1,bacteria,84757,Beutenbergia cavernae,1,1,1
57499,1,bacteria,1276,Kytococcus sedentarius,1,1,1
2529408,1,bacteria,1660,Schaalia odontolytica,4144,4262,4262
2691889,1,bacteria,3059028,Schaalia sp. HMT-172,1026,1088,1088
2691889,1,bacteria,2794089,Schaalia sp. 19OD2882,55,55,55
2691889,1,bacteria,2709403,Schaalia sp. ZJ405,37,37,37
2691889,1,bacteria,2758572,Schaalia sp. JY-X169,5,5,5
2529408,1,bacteria,52773,Schaalia meyeri,110,111,111
2529408,1,bacteria,131111,Schaalia turicensis,59,62,62
2529408,1,bacteria,181487,Schaalia cardiffensis,45,45,45
2529408,1,bacteria,131110,Schaalia radingae,31,31,31
1654,1,bacteria,1852377,Actinomyces pacaensis,2517,2549,2549
1654,1,bacteria,2755559,Actinomyces capricornis,45,46,46
2609248,1,bacteria,2789425,Actinomyces sp. HMT 175,4,23,23
2609248,1,bacteria,2079536,Actinomyces sp. Z16,3,3,3
2609248,1,bacteria,712116,Actinomyces sp. oral taxon 169,1,2,2
2609248,1,bacteria,712122,Actinomyces sp. oral taxon 414,1,1,1
2609248,1,bacteria,1851395,Actinomyces sp. Chiba101,1,1,1
2609248,1,bacteria,2057798,Actinomyces sp. 432,1,1,1
2609248,1,bacteria,2081702,Actinomyces sp. oral taxon 897,1,1,1
2609248,1,bacteria,2789424,Actinomyces sp. HMT897,1,1,1
1654,1,bacteria,675090,Actinomyces weissii,10,10,10
1654,1,bacteria,2560010,Actinomyces procaprae,10,12,12
1654,1,bacteria,111015,Actinomyces radicidentis,7,7,7
1654,1,bacteria,2722820,Actinomyces faecalis,7,7,7
1654,1,bacteria,2057743,Actinomyces wuliandei,6,6,6
1654,1,bacteria,2763540,Actinomyces trachealis,5,5,5
1654,1,bacteria,52774,Actinomyces slackii,4,4,4
1654,1,bacteria,103621,Actinomyces urogenitalis,4,4,4
1654,1,bacteria,544580,Actinomyces oris,4,11,11
1654,1,bacteria,1960083,Actinomyces gaoshouyii,3,3,3
1654,1,bacteria,2737173,Actinomyces marmotae,3,3,3
1654,1,bacteria,52771,Actinomyces howellii,3,3,3
1654,1,bacteria,1659,Actinomyces israelii,3,3,3
1654,1,bacteria,1656,Actinomyces viscosus,3,3,3
1654,1,bacteria,2321394,Actinomyces lilanjuaniae,2,2,2
1654,1,bacteria,2057800,Actinomyces qiguomingii,2,2,2
1654,1,bacteria,1655,Actinomyces naeslundii,2,2,2
1654,1,bacteria,2744574,Actinomyces respiraculi,2,2,2
28263,1,bacteria,999183,Arcanobacterium canis,34,35,35
28263,1,bacteria,1302235,Arcanobacterium phocisimile,5,6,6
28263,1,bacteria,1803177,Arcanobacterium wilhelmae,4,4,4
28263,1,bacteria,2722751,Arcanobacterium buesumense,2,2,2
28263,1,bacteria,28264,Arcanobacterium haemolyticum,1,1,1
2740557,1,bacteria,178339,Pauljensenia hongkongensis,37,37,37
1069494,1,bacteria,1661,Trueperella pyogenes,9,9,9
1069494,1,bacteria,59561,Trueperella bernardiae,6,7,7
1069494,1,bacteria,2733571,Trueperella pecoris,4,4,4
1522056,1,bacteria,2758573,Flaviflexus equikiangi,8,8,8
1522056,1,bacteria,1282737,Flaviflexus salsibiostraticola,5,5,5
1522056,1,bacteria,2496867,Flaviflexus ciconiae,4,4,4
2692118,1,bacteria,33007,Winkia neuii,9,9,9
2888879,1,bacteria,2692125,Nanchangia anserum,7,7,7
2767318,1,bacteria,1912795,Boudabousia tangfeifanii,4,4,4
184869,1,bacteria,2811781,Varibaculum prostatecancerukia,2,2,2
2692113,1,bacteria,66228,Gleimia europaea,1,1,1
2692113,1,bacteria,595468,Gleimia hominis,1,1,1
2912996,1,bacteria,2758440,Changpingibacter yushuensis,2,2,2
2050,1,bacteria,3036302,Mobiluncus massiliensis,1,1,1
2609299,1,bacteria,2495645,Actinobaculum sp. 313,1,1,1
2624378,1,bacteria,3062461,Corynebacterium sp. BD556,58,63,63
2624378,1,bacteria,2599641,Corynebacterium sp. sy039,1,1,1
2624378,1,bacteria,3017361,Corynebacterium sp. SCR221107,1,1,1
1716,1,bacteria,1230998,Corynebacterium frankenforstense,5,5,5
1716,1,bacteria,556548,Corynebacterium freiburgense,4,4,4
1716,1,bacteria,161879,Corynebacterium kroppenstedtii,3,4,4
1716,1,bacteria,699041,Corynebacterium hindlerae,2,2,2
1716,1,bacteria,38302,Corynebacterium mycetoides,2,3,3
1716,1,bacteria,401472,Corynebacterium ureicelerivorans,2,2,2
1716,1,bacteria,1336740,Corynebacterium atrinae,2,2,2
1716,1,bacteria,43770,Corynebacterium striatum,2,3,3
1716,1,bacteria,36808,Corynebacterium bovis,2,2,2
1716,1,bacteria,136857,Corynebacterium testudinoris,2,2,2
1716,1,bacteria,3049801,Corynebacterium suedekumii,1,1,1
1716,1,bacteria,43765,Corynebacterium amycolatum,1,8,8
1716,1,bacteria,2487892,Corynebacterium urogenitale,1,1,1
1716,1,bacteria,2055947,Corynebacterium heidelbergense,1,1,1
1716,1,bacteria,71254,Corynebacterium confusum,1,1,1
1716,1,bacteria,1783348,Corynebacterium guangdongense,1,1,1
1716,1,bacteria,1408191,Corynebacterium deserti,1,1,1
1716,1,bacteria,161895,Corynebacterium phocae,1,1,1
1716,1,bacteria,1231000,Corynebacterium lactis,1,1,1
1716,1,bacteria,187491,Corynebacterium glaucum,1,1,1
1716,1,bacteria,1190508,Corynebacterium aquatimens,1,8,8
1716,1,bacteria,1717,Corynebacterium diphtheriae,1,1,1
1716,1,bacteria,37637,Corynebacterium pseudodiphtheriticum,1,1,1
1716,1,bacteria,2709394,Corynebacterium lizhenjunii,1,1,1
1716,1,bacteria,2709392,Corynebacterium qintianiae,1,1,1
1866885,1,bacteria,1793,Mycolicibacterium fallax,7,8,8
2636767,1,bacteria,3064286,Mycolicibacterium sp. MU0053,2,2,2
1866885,1,bacteria,126673,Mycolicibacterium doricum,2,2,2
1866885,1,bacteria,1286180,Mycolicibacterium sediminis,2,2,2
1866885,1,bacteria,1766,Mycolicibacterium fortuitum,1,1,1
1866885,1,bacteria,388459,Mycolicibacterium crocinum,1,1,1
1866885,1,bacteria,39695,Mycolicibacterium tokaiense,1,1,1
1866885,1,bacteria,212765,Mycolicibacterium madagascariense,1,1,1
1866885,1,bacteria,758802,Mycolicibacterium litorale,1,1,1
2642494,1,bacteria,2857060,Mycobacterium sp. SMC-8,3,6,6
2642494,1,bacteria,1547487,Mycobacterium sp. ELW1,2,2,2
2642494,1,bacteria,2099695,Mycobacterium sp. ITM-2016-00316,2,2,2
77643,1,bacteria,78331,Mycobacterium canetti,1,2,2
1763,1,bacteria,1778,Mycobacterium gordonae,1,1,1
2249310,1,bacteria,220927,Mycobacterium saskatchewanense,1,1,1
120793,1,bacteria,1767,Mycobacterium intracellulare,1,1,1
1073531,1,bacteria,512402,Mycolicibacter heraklionensis,1,1,1
1827,1,bacteria,1829,Rhodococcus rhodochrous,3,4,4
192944,1,bacteria,1302308,Rhodococcus sp. P1Y,2,2,2
192944,1,bacteria,2789739,Rhodococcus sp. USK10,1,1,1
2840174,1,bacteria,1833,Rhodococcus erythropolis,1,1,1
2840174,1,bacteria,334542,Rhodococcus qingshengii,1,2,2
1827,1,bacteria,38310,Rhodococcus coprophilus,2,2,2
1827,1,bacteria,1828,Rhodococcus fascians,1,1,1
1817,1,bacteria,1823,Nocardia otitidiscaviarum,5,5,5
1817,1,bacteria,1824,Nocardia asteroides,2,2,2
1817,1,bacteria,2984338,Nocardia sputorum,1,1,1
1817,1,bacteria,455432,Nocardia terpenica,1,1,1
1817,1,bacteria,209247,Nocardia yamanashiensis,1,1,1
2053,1,bacteria,2665643,Gordonia mangrovi,2,2,2
2657482,1,bacteria,2742602,Gordonia sp. X0973,1,1,1
2657482,1,bacteria,3075837,Gordonia sp. w5E2,1,3,3
1847725,1,bacteria,1528099,Lawsonella clevelandensis,3,3,3
2060,1,bacteria,47312,Tsukamurella pulmonis,1,1,1
2617939,1,bacteria,712270,Dietzia sp. oral taxon 368,1,1,1
2593676,1,bacteria,2975801,Streptomyces sp. NBC_00663,3,3,3
2593676,1,bacteria,1964449,Streptomyces sp. 3211,3,6,6
2593676,1,bacteria,2903865,Streptomyces sp. NBC_01435,3,3,3
2593676,1,bacteria,2951988,Streptomyces sp. JUS-F4,2,10,10
2593676,1,bacteria,2903629,Streptomyces sp. NBC_00162,2,2,2
2593676,1,bacteria,2903769,Streptomyces sp. NBC_01198,2,2,2
2593676,1,bacteria,2742136,Streptomyces sp. NA04227,2,2,2
2593676,1,bacteria,3112165,Streptomyces sp. SCSIO 75703,2,2,2
2593676,1,bacteria,2676871,Streptomyces sp. Tu 2975,2,2,2
2593676,1,bacteria,2684468,Streptomyces sp. QHH-9511,2,2,2
2593676,1,bacteria,1522758,Streptomyces sp. ADI95-16,1,1,1
2593676,1,bacteria,2903670,Streptomyces sp. NBC_00683,1,1,1
2593676,1,bacteria,2903660,Streptomyces sp. NBC_00525,1,1,1
2593676,1,bacteria,2607753,Streptomyces sp. INR7,1,6,6
2593676,1,bacteria,2714844,Streptomyces sp. JB150,1,1,1
2593676,1,bacteria,2903639,Streptomyces sp. NBC_00236,1,1,1
2593676,1,bacteria,2949637,Streptomyces sp. Caat 7-52,1,1,1
2593676,1,bacteria,710705,Streptomyces sp. FXJ1.172,1,1,1
2593676,1,bacteria,2976008,Streptomyces sp. NBC_00223,1,1,1
2593676,1,bacteria,2975776,Streptomyces sp. NBC_00557,1,1,1
2593676,1,bacteria,2903828,Streptomyces sp. NBC_01335,1,1,1
2593676,1,bacteria,2903827,Streptomyces sp. NBC_01334,1,1,1
2593676,1,bacteria,2903872,Streptomyces sp. NBC_01451,1,1,1
2593676,1,bacteria,2975921,Streptomyces sp. NBC_01723,1,1,1
1883,1,bacteria,67296,Streptomyces finlayi,4,4,4
1883,1,bacteria,1355015,Streptomyces pluripotens,4,4,4
1883,1,bacteria,2763006,Streptomyces buecherae,3,3,3
