parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,bracken_classified_reads,nt_rpm
29465,1,bacteria,29466,Veillonella parvula,4856,4909,4909
29465,1,bacteria,2682456,Veillonella nakazawae,2555,2889,2889
29465,1,bacteria,39777,Veillonella atypica,2506,2525,2525
29465,1,bacteria,39778,Veillonella dispar,1078,1134,1134
29465,1,bacteria,423477,Veillonella rogosae,11,11,11
2630086,1,bacteria,2682455,Veillonella sp. S12025-13,11,11,11
29465,1,bacteria,248315,Veillonella rodentium,2,2,2
2637378,1,bacteria,712538,Selenomonas sp. oral taxon 478,4364,4605,4605
2637378,1,bacteria,713030,Selenomonas sp. oral taxon 136,1,1,1
2637378,1,bacteria,1884263,Selenomonas sp. oral taxon 920,1,1,1
3074372,1,bacteria,3054208,Selenobaculum gbiensis,1,1,1
673272,1,bacteria,673273,uncultured Anaeromusa sp.,3,3,3
1301,1,bacteria,113107,Streptococcus australis,3446,4096,4096
1301,1,bacteria,28037,Streptococcus mitis,2745,2899,2899
1301,1,bacteria,1335,Streptococcus equinus,1949,2060,2060
1301,1,bacteria,1307,Streptococcus suis,1926,2027,2027
1301,1,bacteria,2686210,Streptococcus ruminicola,925,1104,1104
1301,1,bacteria,102684,Streptococcus infantarius,447,505,505
1301,1,bacteria,315405,Streptococcus gallolyticus,300,403,403
1301,1,bacteria,150055,Streptococcus lutetiensis,179,199,199
1301,1,bacteria,257758,Streptococcus pseudopneumoniae,135,152,152
1301,1,bacteria,59310,Streptococcus macedonicus,66,115,115
2608887,1,bacteria,2598453,Streptococcus sp. 116-D4,10,10,10
2608887,1,bacteria,3077584,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,4,4,4
2608887,1,bacteria,3098076,Streptococcus sp. S5,3,4,4
2608887,1,bacteria,1902136,Streptococcus sp. NPS 308,3,3,3
2608887,1,bacteria,2975324,Streptococcus sp. FSL R7-0248,3,4,4
2608887,1,bacteria,712623,Streptococcus sp. oral taxon 061,2,2,2
2608887,1,bacteria,3038077,Streptococcus sp. D7B5,2,3,3
2608887,1,bacteria,3028082,Streptococcus sp. 29896,2,2,2
2608887,1,bacteria,2993430,Streptococcus sp. SP4011,2,2,2
2608887,1,bacteria,2664091,Streptococcus sp. zg-86,2,2,2
2608887,1,bacteria,712633,Streptococcus sp. oral taxon 431,2,2,2
2608887,1,bacteria,1759399,Streptococcus sp. A12,2,2,2
2608887,1,bacteria,1839799,Streptococcus sp. FDAARGOS_192,2,2,2
2608887,1,bacteria,3077723,Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A,1,1,1
2608887,1,bacteria,2598457,Streptococcus sp. KS 6,1,1,1
2608887,1,bacteria,3028083,Streptococcus sp. 29892,1,1,1
2608887,1,bacteria,3020829,Streptococcus sp. HN38,1,1,1
2608887,1,bacteria,2972784,Streptococcus sp. Marseille-Q6470,1,1,1
1301,1,bacteria,29389,Streptococcus alactolyticus,42,44,44
1301,1,bacteria,197614,Streptococcus pasteurianus,36,74,74
119603,1,bacteria,1334,Streptococcus dysgalactiae,17,26,26
119603,1,bacteria,1336,Streptococcus equi,6,6,6
1301,1,bacteria,1303,Streptococcus oralis,21,22,22
1301,1,bacteria,1313,Streptococcus pneumoniae,19,87,87
1301,1,bacteria,1349,Streptococcus uberis,17,17,17
1301,1,bacteria,1329,Streptococcus canis,16,16,16
