parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,bracken_classified_reads,nt_rpm
1817,1,bacteria,228602,Nocardia arthritidis,4162,4190,4190
1817,1,bacteria,1823,Nocardia otitidiscaviarum,3746,3788,3788
1817,1,bacteria,37329,Nocardia farcinica,1558,1637,1637
1817,1,bacteria,2749991,Nocardia gipuzkoensis,1414,1479,1479
1817,1,bacteria,37330,Nocardia nova,1325,1335,1335
1817,1,bacteria,135487,Nocardia cyriacigeorgica,1307,1358,1358
2637762,1,bacteria,2975992,Nocardia sp. NBC_00508,56,58,58
2637762,1,bacteria,2903593,Nocardia sp. NBC_01327,22,22,22
2637762,1,bacteria,2975991,Nocardia sp. NBC_00416,18,18,18
2637762,1,bacteria,2975993,Nocardia sp. NBC_00565,17,17,17
2637762,1,bacteria,2975990,Nocardia sp. NBC_00403,16,16,16
2637762,1,bacteria,2975998,Nocardia sp. NBC_01730,15,15,15
2637762,1,bacteria,2975997,Nocardia sp. NBC_01503,14,14,14
2637762,1,bacteria,3058426,Nocardia sp. PE-7,11,12,12
2637762,1,bacteria,1047172,Nocardia sp. CS682,10,10,10
2637762,1,bacteria,2903594,Nocardia sp. NBC_01329,10,10,10
2637762,1,bacteria,2903591,Nocardia sp. NBC_00511,1,1,1
1817,1,bacteria,480035,Nocardia wallacei,112,116,116
1817,1,bacteria,2984338,Nocardia sputorum,91,92,92
1817,1,bacteria,455432,Nocardia terpenica,55,55,55
1817,1,bacteria,1824,Nocardia asteroides,52,53,53
1817,1,bacteria,37326,Nocardia brasiliensis,25,26,26
1817,1,bacteria,96468,Nocardia vinacea,24,24,24
1817,1,bacteria,2213200,Nocardia mangyaensis,24,24,24
1817,1,bacteria,209247,Nocardia yamanashiensis,19,19,19
1817,1,bacteria,208602,Nocardia puris,18,18,18
1817,1,bacteria,2382165,Nocardia yunnanensis,17,17,17
1817,1,bacteria,2055889,Nocardia tengchongensis,15,15,15
1817,1,bacteria,37332,Nocardia seriolae,11,11,11
1817,1,bacteria,2755382,Nocardia huaxiensis,11,11,11
1817,1,bacteria,204891,Nocardia iowensis,9,9,9
1817,1,bacteria,53431,Nocardia salmonicida,9,9,9
1817,1,bacteria,1141657,Nocardia vulneris,7,8,8
2979332,1,bacteria,43767,Prescottella equi,4216,4311,4311
2979334,1,bacteria,3064529,Prescottella sp. R16,3,3,3
192944,1,bacteria,1302308,Rhodococcus sp. P1Y,17,17,17
192944,1,bacteria,2567884,Rhodococcus sp. SGAir0479,15,15,15
192944,1,bacteria,1805827,Rhodococcus sp. MTM3W5.2,14,14,14
192944,1,bacteria,2962047,Rhodococcus sp. Z13,13,13,13
192944,1,bacteria,679318,Rhodococcus sp. WMMA185,13,13,13
192944,1,bacteria,2742603,Rhodococcus sp. W8901,13,13,13
192944,1,bacteria,2499145,Rhodococcus sp. X156,12,12,12
192944,1,bacteria,2507582,Rhodococcus sp. ABRD24,9,9,9
192944,1,bacteria,2976004,Rhodococcus sp. NBC_00294,9,33,33
192944,1,bacteria,1564114,Rhodococcus sp. B7740,9,9,9
192944,1,bacteria,2806442,Rhodococcus sp. USK13,8,11,11
192944,1,bacteria,2663121,Rhodococcus sp. WAY2,7,12,12
192944,1,bacteria,1653478,Rhodococcus sp. PBTS 1,5,7,7
192944,1,bacteria,2885078,Rhodococcus sp. RDE2,4,7,7
192944,1,bacteria,2976005,Rhodococcus sp. NBC_00297,4,14,14
192944,1,bacteria,2795031,Rhodococcus sp. P-2,4,7,7
192944,1,bacteria,2789739,Rhodococcus sp. USK10,3,3,3
192944,1,bacteria,2594007,Rhodococcus sp. WB9,3,5,5
192944,1,bacteria,3002901,Rhodococcus sp. JS3073,1,1,1
192944,1,bacteria,357684,Rhodococcus sp. DN22,1,14,14
192944,1,bacteria,1045808,Rhodococcus sp. YL-1,1,6,6
192944,1,bacteria,2856851,Rhodococcus sp. LW-XY12,1,8,8
1827,1,bacteria,1828,Rhodococcus fascians,45,46,46
2840174,1,bacteria,334542,Rhodococcus qingshengii,12,73,73
2840174,1,bacteria,1833,Rhodococcus erythropolis,4,16,16
1827,1,bacteria,37919,Rhodococcus opacus,17,24,24
1827,1,bacteria,300028,Rhodococcus triatomae,17,17,17
1827,1,bacteria,1805840,Rhodococcus sovatensis,15,15,15
1827,1,bacteria,33008,Rhodococcus globerulus,13,13,13
1827,1,bacteria,99653,Rhodococcus koreensis,10,11,11
1827,1,bacteria,2987751,Rhodococcus antarcticus,9,9,9
1827,1,bacteria,223392,Rhodococcus gordoniae,9,10,10
1827,1,bacteria,103816,Rhodococcus pyridinivorans,8,29,29
1827,1,bacteria,293050,Rhodococcus kroppenstedtii,7,10,10
1827,1,bacteria,1830,Rhodococcus ruber,5,24,24
1827,1,bacteria,38310,Rhodococcus coprophilus,5,5,5
1827,1,bacteria,1829,Rhodococcus rhodochrous,4,10,10
1827,1,bacteria,1990687,Rhodococcus oxybenzonivorans,2,4,4
1827,1,bacteria,2811421,Rhodococcus pseudokoreensis,2,2,2
1827,1,bacteria,191292,Rhodococcus aetherivorans,1,8,8
1827,1,bacteria,132919,Rhodococcus jostii,1,2,2
85043,1,bacteria,1603258,Williamsia herbipolensis,67,67,67
120793,1,bacteria,1767,Mycobacterium intracellulare,1265,1974,1974
120793,1,bacteria,1764,Mycobacterium avium,172,179,179
120793,1,bacteria,339268,Mycobacterium colombiense,129,129,129
120793,1,bacteria,560555,Mycobacterium mantenii,104,104,104
120793,1,bacteria,2775496,Mycobacterium senriense,80,80,80
120793,1,bacteria,701042,Mycobacterium marseillense,65,66,66
120793,1,bacteria,1138383,Mycobacterium paraintracellulare,4,10,10
2642494,1,bacteria,2857058,Mycobacterium sp. SMC-2,903,908,908
2642494,1,bacteria,2991728,Mycobacterium sp. Aquia_213,45,46,46
2642494,1,bacteria,2991729,Mycobacterium sp. Aquia_216,40,40,40
2642494,1,bacteria,2903536,Mycobacterium sp. 20KCMC460,36,36,36
2642494,1,bacteria,3073562,Mycobacterium sp. Z3061,32,32,32
2642494,1,bacteria,2099693,Mycobacterium sp. ITM-2016-00318,30,30,30
2642494,1,bacteria,2867005,Mycobacterium sp. IDR2000157661,23,23,23
2642494,1,bacteria,2857059,Mycobacterium sp. SMC-4,21,33,33
2642494,1,bacteria,1545728,Mycobacterium sp. EPa45,20,20,20
2642494,1,bacteria,212767,Mycobacterium sp. JS623,13,13,13
2642494,1,bacteria,2099694,Mycobacterium sp. ITM-2016-00317,13,13,13
2642494,1,bacteria,1936029,Mycobacterium sp. MS1601,13,13,13
2642494,1,bacteria,2675523,Mycobacterium sp. DL440,12,12,12
2642494,1,bacteria,2099695,Mycobacterium sp. ITM-2016-00316,12,12,12
2642494,1,bacteria,1547487,Mycobacterium sp. ELW1,12,13,13
2642494,1,bacteria,2975989,Mycobacterium sp. NBC_00419,11,11,11
2642494,1,bacteria,2857060,Mycobacterium sp. SMC-8,8,11,11
2642494,1,bacteria,2675524,Mycobacterium sp. DL592,7,7,7
2642494,1,bacteria,1168287,Mycobacterium sp. MOTT36Y,6,14,14
1763,1,bacteria,1768,Mycobacterium kansasii,1159,1168,1168
1763,1,bacteria,1778,Mycobacterium gordonae,1028,1037,1037
2249310,1,bacteria,185642,Mycobacterium parmense,117,119,119
2249310,1,bacteria,53376,Mycobacterium heidelbergense,81,83,83
2249310,1,bacteria,220927,Mycobacterium saskatchewanense,80,100,100
2249310,1,bacteria,722731,Mycobacterium shigaense,74,76,76
2249310,1,bacteria,470076,Mycobacterium stomatepiae,71,75,75
2249310,1,bacteria,292462,Mycobacterium florentinum,70,75,75
2249310,1,bacteria,120959,Mycobacterium kubicae,58,59,59
2249310,1,bacteria,1784,Mycobacterium simiae,52,52,52
2249310,1,bacteria,141349,Mycobacterium lentiflavum,33,40,40
1763,1,bacteria,590652,Mycobacterium paraseoulense,420,422,422
1763,1,bacteria,386911,Mycobacterium seoulense,362,364,364
1763,1,bacteria,486698,Mycobacterium riyadhense,82,82,82
1763,1,bacteria,44010,Mycobacterium conspicuum,71,71,71
1763,1,bacteria,169765,Mycobacterium lacus,68,68,68
1763,1,bacteria,1780,Mycobacterium malmoense,53,53,53
1763,1,bacteria,1775,Mycobacterium cookii,45,45,45
1763,1,bacteria,43348,Mycobacterium branderi,45,45,45
1763,1,bacteria,1719132,Mycobacterium vicinigordonae,38,38,38
2993898,1,bacteria,1781,Mycobacterium marinum,3,14,14
2993898,1,bacteria,1809,Mycobacterium ulcerans,2,14,14
2993898,1,bacteria,133549,Mycobacterium shottsii,1,4,4
1763,1,bacteria,2094119,Mycobacterium basiliense,31,31,31
1763,1,bacteria,398694,Mycobacterium shinjukuense,30,30,30
1763,1,bacteria,1389713,Mycobacterium paragordonae,29,29,29
1763,1,bacteria,1430326,Mycobacterium decipiens,27,27,27
1763,1,bacteria,110505,Mycobacterium heckeshornense,21,21,21
77643,1,bacteria,1773,Mycobacterium tuberculosis,5,16,16
77643,1,bacteria,78331,Mycobacterium canetti,4,4,4
1763,1,bacteria,3027808,Candidatus Mycobacterium wuenschmannii,20,20,20
1763,1,bacteria,29311,Mycobacterium haemophilum,18,18,18
1763,1,bacteria,459858,Mycobacterium noviomagense,17,17,17
1763,1,bacteria,1682113,Mycobacterium adipatum,16,17,17
1763,1,bacteria,2738409,Mycobacterium ostraviense,16,16,16
1763,1,bacteria,886343,Mycobacterium spongiae,15,15,15
1763,1,bacteria,1789,Mycobacterium xenopi,15,15,15
1763,1,bacteria,577492,Mycobacterium paraterrae,14,14,14
1763,1,bacteria,482462,Mycobacterium dioxanotrophicus,13,13,13
1763,1,bacteria,39689,Mycobacterium gallinarum,10,10,10
1763,1,bacteria,2943498,Candidatus Mycobacterium methanotrophicum,10,10,10
1763,1,bacteria,1769,Mycobacterium leprae,5,5,5
1763,1,bacteria,480418,Mycobacterium lepromatosis,1,1,1
670516,1,bacteria,36809,Mycobacteroides abscessus,1743,1920,1920
670516,1,bacteria,83262,Mycobacteroides immunogenum,1163,1204,1204
670516,1,bacteria,1774,Mycobacteroides chelonae,940,966,966
670516,1,bacteria,404941,Mycobacteroides salmoniphilum,9,9,9
670516,1,bacteria,1578165,Mycobacteroides saopaulense,5,5,5
670516,1,bacteria,1520670,[Mycobacterium] stephanolepidis,2,2,2
2636767,1,bacteria,3023370,Mycolicibacterium sp. TUM20985,19,19,19
2636767,1,bacteria,3064284,Mycolicibacterium sp. MU0050,15,18,18
2636767,1,bacteria,2908837,Mycolicibacterium sp. YH-1,12,12,12
2636767,1,bacteria,3056937,Mycolicibacterium sp. HK-90,9,9,9
2636767,1,bacteria,3064286,Mycolicibacterium sp. MU0053,9,10,10
2636767,1,bacteria,3042320,Mycolicibacterium sp. ND9-15,2,2,2
1866885,1,bacteria,1772,Mycolicibacterium smegmatis,25,28,28
1866885,1,bacteria,134601,Mycolicibacterium goodii,23,25,25
1866885,1,bacteria,39688,Mycolicibacterium duvalii,23,24,24
