parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,bracken_classified_reads,nt_rpm
671232,1,bacteria,1328,Streptococcus anginosus,2699,3211,3211
671232,1,bacteria,1338,Streptococcus intermedius,2495,2661,2661
671232,1,bacteria,76860,Streptococcus constellatus,11,16,16
2608887,1,bacteria,712633,Streptococcus sp. oral taxon 431,2923,3051,3051
2608887,1,bacteria,2610896,Streptococcus sp. LPB0220,1007,1168,1168
2608887,1,bacteria,1839799,Streptococcus sp. FDAARGOS_192,395,594,594
2608887,1,bacteria,2598453,Streptococcus sp. 116-D4,363,378,378
2608887,1,bacteria,2598457,Streptococcus sp. KS 6,16,19,19
2608887,1,bacteria,2763068,Streptococcus sp. NSJ-72,10,19,19
2608887,1,bacteria,3077723,Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A,3,3,3
2608887,1,bacteria,2954513,Streptococcus sp. FSL K6-1323,3,6,6
2608887,1,bacteria,2972784,Streptococcus sp. Marseille-Q6470,3,3,3
2608887,1,bacteria,2576376,Streptococcus sp. 1643,3,3,3
2608887,1,bacteria,3098075,Streptococcus sp. S1,2,2,2
2608887,1,bacteria,1902136,Streptococcus sp. NPS 308,2,2,2
2608887,1,bacteria,3038077,Streptococcus sp. D7B5,2,2,2
2608887,1,bacteria,3020829,Streptococcus sp. HN38,1,1,1
2608887,1,bacteria,2975324,Streptococcus sp. FSL R7-0248,1,1,1
2608887,1,bacteria,2993430,Streptococcus sp. SP4011,1,1,1
2608887,1,bacteria,712623,Streptococcus sp. oral taxon 061,1,1,1
2608887,1,bacteria,3077584,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,1,1,1
2608887,1,bacteria,3098076,Streptococcus sp. S5,1,1,1
2608887,1,bacteria,1759399,Streptococcus sp. A12,1,1,1
2608887,1,bacteria,712624,Streptococcus sp. oral taxon 064,1,1,1
1301,1,bacteria,1313,Streptococcus pneumoniae,2666,3164,3164
1301,1,bacteria,45634,Streptococcus cristatus,981,1001,1001
1301,1,bacteria,1302,Streptococcus gordonii,967,982,982
1301,1,bacteria,1304,Streptococcus salivarius,891,1108,1108
1301,1,bacteria,1305,Streptococcus sanguinis,867,905,905
1301,1,bacteria,1308,Streptococcus thermophilus,645,664,664
1301,1,bacteria,1335,Streptococcus equinus,417,449,449
1301,1,bacteria,1433513,Streptococcus gwangjuense,385,426,426
1301,1,bacteria,1303,Streptococcus oralis,374,414,414
1301,1,bacteria,28037,Streptococcus mitis,326,352,352
1301,1,bacteria,1307,Streptococcus suis,280,295,295
1301,1,bacteria,2382163,Streptococcus koreensis,110,148,148
1301,1,bacteria,1318,Streptococcus parasanguinis,8,8,8
1301,1,bacteria,1343,Streptococcus vestibularis,8,8,8
1301,1,bacteria,2490633,Streptococcus periodonticum,6,8,8
1301,1,bacteria,361101,Streptococcus pseudoporcinus,5,5,5
119603,1,bacteria,1336,Streptococcus equi,3,3,3
119603,1,bacteria,1334,Streptococcus dysgalactiae,2,2,2
1301,1,bacteria,29389,Streptococcus alactolyticus,4,4,4
1301,1,bacteria,113107,Streptococcus australis,4,5,5
1301,1,bacteria,1314,Streptococcus pyogenes,4,4,4
1301,1,bacteria,33040,Streptococcus milleri,3,4,4
1301,1,bacteria,1814128,Streptococcus halotolerans,3,3,3
1301,1,bacteria,1340,Streptococcus porcinus,3,3,3
1301,1,bacteria,684066,Streptococcus lactarius,2,2,2
1301,1,bacteria,1156431,Streptococcus ilei,2,2,2
1301,1,bacteria,2021971,Streptococcus respiraculi,2,2,2
1301,1,bacteria,82348,Streptococcus pluranimalium,2,2,2
1301,1,bacteria,1501662,Streptococcus parasuis,1,1,1
1301,1,bacteria,315405,Streptococcus gallolyticus,1,1,1
1301,1,bacteria,149016,Streptococcus urinalis,1,1,1
1301,1,bacteria,2819619,Streptococcus toyakuensis,1,1,1
1301,1,bacteria,1311,Streptococcus agalactiae,1,3,3
1301,1,bacteria,1348,Streptococcus parauberis,1,1,1
1301,1,bacteria,1345,Streptococcus ferus,1,1,1
2742598,1,bacteria,1613,Limosilactobacillus fermentum,854,875,875
1578,1,bacteria,1584,Lactobacillus delbrueckii,1,1,1
1350,1,bacteria,1352,Enterococcus faecium,2,4,4
