sample_name,Acinetobacter,Capnocytophaga,Clostridiales,Corynebacterium,Escherichia,Haemophilus,Kingella,Klebsiella,Neisseria,Prevotella,Pseudomonas,Staphylococcus,Streptococcus,Ureaplasma,Candida
1,0,0,0,0,3,0,0,0,2,0,0,0,4,0,0
2,1,0,0,0,2,1,0,0,1,3,0,2,3,0,0
3,0,0,0,0,3,1,0,0,0,0,3,3,4,0,0
4,0,0,0,0,2,2,0,3,0,0,0,0,3,0,0
5,0,0,0,0,3,3,1,0,3,5,0,0,4,0,0
6,0,2,0,0,3,4,0,0,3,5,0,0,4,0,0
7,0,3,0,0,2,3,1,0,4,3,0,0,3,0,0
8,0,2,0,0,2,1,0,0,0,0,0,0,4,0,0
9,0,0,0,0,2,0,0,0,3,3,0,0,3,0,0
10,0,3,0,2,3,0,0,0,3,4,0,0,4,0,0
11,0,1,0,0,3,2,0,0,2,1,0,0,3,0,0
12,0,5,0,2,3,1,2,0,4,5,0,0,4,0,3
13,0,0,0,0,3,0,0,0,1,2,3,4,4,0,0
14,0,0,0,3,3,0,0,0,2,3,0,0,4,0,0
15,0,1,0,1,4,2,0,0,1,2,0,3,2,0,0
16,0,4,2,0,3,4,2,0,5,5,0,0,4,0,0
17,0,2,0,0,0,3,0,0,5,4,0,0,3,0,0
18,0,2,0,0,3,1,0,0,5,1,0,0,3,0,0
19,0,3,0,0,0,4,0,0,4,3,0,0,4,0,0
20,0,3,0,0,0,2,0,0,2,3,0,0,2,0,0
21,0,5,0,0,0,4,0,0,3,4,0,0,3,0,0
22,0,4,0,0,0,4,0,0,3,4,0,0,2,0,0
23,0,1,0,0,0,1,0,0,2,3,0,0,2,0,0
24,0,4,0,0,0,4,0,0,5,5,0,0,3,0,0
25,0,3,0,0,0,4,0,0,4,4,0,0,3,0,0
26,0,4,0,0,0,3,0,0,4,4,0,0,3,0,0
27,0,4,0,0,0,3,2,0,3,5,0,0,3,0,0
28,0,4,0,0,0,3,0,0,4,3,3,0,3,0,0
29,0,0,0,0,0,2,0,0,0,4,0,0,4,0,0
30,0,2,0,0,0,0,0,0,2,5,0,0,3,0,0
31,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0
32,0,4,0,0,0,4,0,0,4,5,0,0,3,0,0
33,0,4,0,0,0,4,0,0,4,4,0,0,3,0,0
34,0,1,0,0,0,2,1,0,0,3,0,0,1,0,0
35,0,0,0,0,0,3,0,0,3,1,0,0,3,0,0
36,0,4,0,0,0,3,3,0,3,3,0,0,3,0,0
37,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0
38,0,3,0,0,0,2,0,0,4,5,0,0,2,0,0
39,0,0,0,0,2,0,0,0,1,1,0,0,4,2,0
40,0,3,0,0,0,4,0,0,4,4,0,0,3,0,0
41,0,4,0,0,0,4,0,0,4,4,0,0,3,0,0
42,0,4,0,0,0,4,0,0,4,4,0,0,3,0,0
43,0,0,0,0,0,4,0,0,4,4,0,0,3,0,0
44,0,2,0,0,0,4,0,0,4,4,0,0,3,0,0
45,0,4,0,0,0,4,0,0,5,4,0,0,3,0,0
46,0,4,0,0,0,4,2,0,5,3,0,0,3,0,0
47,0,4,0,0,0,4,0,0,3,4,0,0,3,0,0
48,0,4,0,0,0,4,0,0,5,4,0,0,1,0,0
C1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0
C2,0,2,0,0,0,3,0,0,4,3,0,0,0,0,0
C3,0,2,0,0,0,2,0,0,3,4,0,0,0,0,0
C4,0,3,0,0,0,4,0,0,5,4,0,0,0,0,0
C5,0,2,0,0,0,3,0,0,4,4,0,0,0,0,0
C6,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0
C7,0,2,0,0,0,2,0,0,4,2,0,0,0,0,0
