parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,bracken_classified_reads,nt_rpm
482,1,bacteria,28449,Neisseria subflava,162077,400975,42580
2623750,1,bacteria,641148,Neisseria sp. oral taxon 014,28621,61651,6546
2623750,1,bacteria,655307,Neisseria sp. KEM232,3519,4568,485
2623750,1,bacteria,2972775,Neisseria sp. Marseille-Q5346,987,2283,242
2623750,1,bacteria,3077590,Neisseria sp. DTU_2021_1001991_1_SI_NGA_ILE_055,609,1674,177
2623750,1,bacteria,1871109,Neisseria sp. RH3002v2g,346,933,99
2623750,1,bacteria,2995413,Neisseria sp. 3986,101,172,18
2623750,1,bacteria,2937985,Neisseria sp. Marseille-Q6792,59,131,13
2623750,1,bacteria,2995414,Neisseria sp. 51.81,50,292,31
2623750,1,bacteria,2912675,Neisseria sp. Dent CA1/247,43,63,6
2623750,1,bacteria,181655,Neisseria sp. CCUG 45853,6,50,5
2623750,1,bacteria,1871106,Neisseria sp. KH1003-01,2,2,0
2623750,1,bacteria,495,Neisseria elongata,12746,32313,3431
2623750,1,bacteria,487,Neisseria meningitidis,11134,917937,97477
2623750,1,bacteria,485,Neisseria gonorrhoeae,10560,19797,2102
2623750,1,bacteria,490,Neisseria sicca,2530,79473,8439
2623750,1,bacteria,488,Neisseria mucosa,1997,31253,3318
2623750,1,bacteria,486,Neisseria lactamica,1785,3401,361
2623750,1,bacteria,1853278,Neisseria chenwenguii,1714,2109,223
2623750,1,bacteria,484,Neisseria flavescens,838,1846,196
2623750,1,bacteria,2912188,Neisseria lisongii,783,1099,116
2623750,1,bacteria,267212,Neisseria bacilliformis,690,1221,129
2623750,1,bacteria,496,Neisseria macacae,631,5758,611
2623750,1,bacteria,194197,Neisseria dentiae,569,683,72
2623750,1,bacteria,1470200,Neisseria arctica,544,703,74
2623750,1,bacteria,483,Neisseria cinerea,387,822,87
2623750,1,bacteria,33053,Neisseria perflava,253,3150,334
2623750,1,bacteria,28091,Neisseria weaveri,236,344,36
2623750,1,bacteria,1853276,Neisseria weixii,229,285,30
2623750,1,bacteria,492,Neisseria animalis,186,248,26
2623750,1,bacteria,640030,Neisseria zalophi,184,237,25
2623750,1,bacteria,493,Neisseria canis,184,254,26
2623750,1,bacteria,326522,Neisseria animaloris,151,206,21
2623750,1,bacteria,1815583,Neisseria musculi,141,157,16
2623750,1,bacteria,607712,Neisseria shayeganii,120,157,16
2623750,1,bacteria,2666100,Neisseria brasiliensis,76,109,11
