parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,bracken_classified_reads,nt_rpm
1269,1,bacteria,1273,Micrococcus lylae,8641,8721,8721
1269,1,bacteria,1270,Micrococcus luteus,6588,8392,8392
2620948,1,bacteria,3142261,Micrococcus sp. 2A,11,11,11
2620948,1,bacteria,3101753,Micrococcus sp. HOU1,9,15,15
2620948,1,bacteria,1179670,Micrococcus sp. KBS0714,4,9,9
2620948,1,bacteria,2995171,Micrococcus sp. SL257,3,10,10
1269,1,bacteria,566027,Micrococcus yunnanensis,16,36,36
1269,1,bacteria,2856555,Micrococcus porci,5,5,5
32207,1,bacteria,43675,Rothia mucilaginosa,7543,7573,7573
32207,1,bacteria,2047,Rothia dentocariosa,561,565,565
32207,1,bacteria,172042,Rothia aeria,5,5,5
2689056,1,bacteria,2810516,Rothia sp. ZJ932,4,4,4
235627,1,bacteria,2991715,Arthrobacter sp. ATA002,6,6,6
235627,1,bacteria,2879617,Arthrobacter sp. FW305-BF8,3,3,3
235627,1,bacteria,2894192,Arthrobacter sp. zg-Y820,3,3,3
235627,1,bacteria,1704044,Arthrobacter sp. ERGS1:01,2,2,2
235627,1,bacteria,1118963,Arthrobacter sp. Rue61a,2,2,2
235627,1,bacteria,1357915,Arthrobacter sp. QXT-31,2,2,2
235627,1,bacteria,2828862,Arthrobacter sp. Helios,1,1,1
235627,1,bacteria,2987701,Arthrobacter sp. YA7-1,1,1,1
1663,1,bacteria,37921,Arthrobacter agilis,5,5,5
1663,1,bacteria,2211210,Arthrobacter dokdonellae,4,4,4
1663,1,bacteria,156980,Arthrobacter woluwensis,3,3,3
1663,1,bacteria,199136,Arthrobacter koreensis,2,2,2
1663,1,bacteria,2486855,Arthrobacter sulfonylureivorans,1,1,1
1742993,1,bacteria,1671,Pseudarthrobacter oxydans,6,6,6
1742993,1,bacteria,85085,Pseudarthrobacter chlorophenolicus,1,1,1
57493,1,bacteria,71999,Kocuria palustris,2,2,2
57493,1,bacteria,1049583,Kocuria indica,2,4,4
1742991,1,bacteria,98671,Pseudoglutamicibacter albus,6,6,6
2639426,1,bacteria,2986919,Paeniglutamicibacter sp. ZC-3,3,4,4
2078575,1,bacteria,1618207,Psychromicrobium lacuslunae,3,3,3
1645,1,bacteria,1646,Renibacterium salmoninarum,2,2,2
1742989,1,bacteria,1933880,Glutamicibacter halophytocola,1,2,2
2632435,1,bacteria,3073268,Citricoccus sp. I39-566,2,2,2
2646595,1,bacteria,2020377,Sinomonas sp. R1AF57,1,1,1
2609290,1,bacteria,3035531,Microbacterium sp. BDGP8,7,11,11
2609290,1,bacteria,2875948,Microbacterium sp. cx-55,4,4,4
2609290,1,bacteria,367477,Microbacterium sp. XT11,1,1,1
2609290,1,bacteria,2766784,Microbacterium sp. Nx66,1,1,1
2609290,1,bacteria,3049072,Microbacterium sp. zg-Y818,1,1,1
33882,1,bacteria,2909587,Microbacterium elymi,2,2,2
33882,1,bacteria,3079935,Microbacterium limosum,1,1,1
33882,1,bacteria,2851649,Microbacterium sufflavum,1,1,1
33882,1,bacteria,69367,Microbacterium luteolum,1,1,1
33882,1,bacteria,1816425,Microbacterium plantarum,1,1,1
33882,1,bacteria,2782168,Microbacterium atlanticum,1,1,1
33882,1,bacteria,2509458,Microbacterium protaetiae,1,1,1
33882,1,bacteria,2541726,Microbacterium wangchenii,1,1,1
33882,1,bacteria,370764,Microbacterium pygmaeum,1,1,1
33882,1,bacteria,2614639,Microbacterium lushaniae,1,1,1
55968,1,bacteria,1935379,Leucobacter muris,1,3,3
2621730,1,bacteria,2875729,Leucobacter sp. Psy1,1,1,1
55968,1,bacteria,2714934,Leucobacter insecticola,1,1,1
55968,1,bacteria,2714935,Leucobacter viscericola,1,1,1
55968,1,bacteria,2932245,Leucobacter rhizosphaerae,1,2,2
33886,1,bacteria,1891671,Rathayibacter oskolensis,3,6,6
2649013,1,bacteria,1897060,Cryobacterium sp. SO2,2,2,2
2649013,1,bacteria,1897061,Cryobacterium sp. SO1,1,1,1
69578,1,bacteria,2220095,Cryobacterium soli,2,2,2
1573,1,bacteria,28447,Clavibacter michiganensis,4,6,6
33877,1,bacteria,659012,Agromyces soli,2,2,2
33877,1,bacteria,2509455,Agromyces protaetiae,1,1,1
2639701,1,bacteria,2932244,Agromyces sp. H17E-10,1,1,1
2623385,1,bacteria,2986279,Aurantimicrobium sp. INA4,3,4,4
2663824,1,bacteria,1798223,Leifsonia sp. 21MFCrub1.1,1,3,3
257496,1,bacteria,2175620,Curtobacterium sp. MCLR17_036,1,1,1
257496,1,bacteria,2175641,Curtobacterium sp. MCSS17_005,1,1,1
1195526,1,bacteria,2419771,Gryllotalpicola protaetiae,2,2,2
427753,1,bacteria,2599293,Humibacter ginsenosidimutans,1,1,1
2680004,1,bacteria,2592654,Protaetiibacter larvae,1,1,1
529883,1,bacteria,529884,Rhodoluna lacicola,1,1,1
2620057,1,bacteria,3143537,Diaminobutyricibacter sp. McL0608,1,1,1
518733,1,bacteria,412690,Microterricola viridarii,1,1,1
447237,1,bacteria,1268041,Frondihabitans sucicola,1,1,1
76634,1,bacteria,2079792,Mycetocola zhujimingii,1,1,1
2641148,1,bacteria,2773266,Agreia sp. COWG,1,1,1
