parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,bracken_classified_reads,nt_rpm
1817,1,bacteria,228602,Nocardia arthritidis,4158,4188,4188
1817,1,bacteria,1823,Nocardia otitidiscaviarum,3756,3802,3802
1817,1,bacteria,37329,Nocardia farcinica,1556,1643,1643
1817,1,bacteria,2749991,Nocardia gipuzkoensis,1354,1418,1418
1817,1,bacteria,37330,Nocardia nova,1312,1323,1323
1817,1,bacteria,135487,Nocardia cyriacigeorgica,1303,1359,1359
2637762,1,bacteria,2975992,Nocardia sp. NBC_00508,57,59,59
2637762,1,bacteria,2975993,Nocardia sp. NBC_00565,28,29,29
2637762,1,bacteria,2903594,Nocardia sp. NBC_01329,22,22,22
2637762,1,bacteria,2975998,Nocardia sp. NBC_01730,19,19,19
2637762,1,bacteria,2903593,Nocardia sp. NBC_01327,15,15,15
2637762,1,bacteria,2975991,Nocardia sp. NBC_00416,14,14,14
2637762,1,bacteria,1047172,Nocardia sp. CS682,12,12,12
2637762,1,bacteria,2975990,Nocardia sp. NBC_00403,12,12,12
2637762,1,bacteria,2975997,Nocardia sp. NBC_01503,9,9,9
2637762,1,bacteria,3058426,Nocardia sp. PE-7,7,7,7
1817,1,bacteria,2984338,Nocardia sputorum,110,112,112
1817,1,bacteria,480035,Nocardia wallacei,95,98,98
1817,1,bacteria,455432,Nocardia terpenica,54,54,54
1817,1,bacteria,1824,Nocardia asteroides,50,51,51
1817,1,bacteria,96468,Nocardia vinacea,27,27,27
1817,1,bacteria,2382165,Nocardia yunnanensis,27,27,27
1817,1,bacteria,37326,Nocardia brasiliensis,25,26,26
1817,1,bacteria,37332,Nocardia seriolae,17,17,17
1817,1,bacteria,2055889,Nocardia tengchongensis,16,16,16
1817,1,bacteria,2213200,Nocardia mangyaensis,16,16,16
1817,1,bacteria,204891,Nocardia iowensis,15,15,15
1817,1,bacteria,208602,Nocardia puris,15,15,15
1817,1,bacteria,209247,Nocardia yamanashiensis,13,13,13
1817,1,bacteria,2755382,Nocardia huaxiensis,12,12,12
1817,1,bacteria,53431,Nocardia salmonicida,10,10,10
1817,1,bacteria,1141657,Nocardia vulneris,4,4,4
2979332,1,bacteria,43767,Prescottella equi,4211,4332,4332
2979334,1,bacteria,3064529,Prescottella sp. R16,11,11,11
192944,1,bacteria,1302308,Rhodococcus sp. P1Y,31,31,31
192944,1,bacteria,1805827,Rhodococcus sp. MTM3W5.2,26,26,26
192944,1,bacteria,2742603,Rhodococcus sp. W8901,21,21,21
192944,1,bacteria,2507582,Rhodococcus sp. ABRD24,17,17,17
192944,1,bacteria,2567884,Rhodococcus sp. SGAir0479,16,16,16
192944,1,bacteria,2962047,Rhodococcus sp. Z13,13,13,13
192944,1,bacteria,1564114,Rhodococcus sp. B7740,11,11,11
192944,1,bacteria,679318,Rhodococcus sp. WMMA185,10,10,10
192944,1,bacteria,2499145,Rhodococcus sp. X156,7,7,7
192944,1,bacteria,2976004,Rhodococcus sp. NBC_00294,6,24,24
192944,1,bacteria,1653478,Rhodococcus sp. PBTS 1,5,7,7
192944,1,bacteria,2663121,Rhodococcus sp. WAY2,4,7,7
192944,1,bacteria,2789739,Rhodococcus sp. USK10,3,3,3
192944,1,bacteria,2806442,Rhodococcus sp. USK13,3,4,4
192944,1,bacteria,2976005,Rhodococcus sp. NBC_00297,3,12,12
192944,1,bacteria,3002901,Rhodococcus sp. JS3073,3,5,5
192944,1,bacteria,3109594,Rhodococcus sp. PD04,2,10,10
192944,1,bacteria,1727214,Rhodococcus sp. H-CA8f,1,4,4
192944,1,bacteria,2749906,Rhodococcus sp. ZPP,1,3,3
192944,1,bacteria,1033922,Rhodococcus sp. WB1,1,10,10
192944,1,bacteria,2683591,Rhodococcus sp. 21391,1,5,5
1827,1,bacteria,1828,Rhodococcus fascians,49,51,51
1827,1,bacteria,37919,Rhodococcus opacus,19,27,27
2840174,1,bacteria,334542,Rhodococcus qingshengii,11,66,66
2840174,1,bacteria,1833,Rhodococcus erythropolis,2,7,7
1827,1,bacteria,300028,Rhodococcus triatomae,16,16,16
1827,1,bacteria,1805840,Rhodococcus sovatensis,14,14,14
1827,1,bacteria,33008,Rhodococcus globerulus,11,11,11
1827,1,bacteria,99653,Rhodococcus koreensis,10,11,11
1827,1,bacteria,1829,Rhodococcus rhodochrous,8,20,20
1827,1,bacteria,223392,Rhodococcus gordoniae,8,9,9
1827,1,bacteria,1830,Rhodococcus ruber,7,32,32
1827,1,bacteria,2987751,Rhodococcus antarcticus,6,6,6
1827,1,bacteria,103816,Rhodococcus pyridinivorans,5,17,17
1827,1,bacteria,293050,Rhodococcus kroppenstedtii,4,5,5
1827,1,bacteria,132919,Rhodococcus jostii,4,10,10
1827,1,bacteria,2811421,Rhodococcus pseudokoreensis,4,4,4
1827,1,bacteria,38310,Rhodococcus coprophilus,4,4,4
1827,1,bacteria,191292,Rhodococcus aetherivorans,2,14,14
1827,1,bacteria,1990687,Rhodococcus oxybenzonivorans,1,1,1
85043,1,bacteria,1603258,Williamsia herbipolensis,68,68,68
120793,1,bacteria,1767,Mycobacterium intracellulare,1280,2038,2038
120793,1,bacteria,1764,Mycobacterium avium,168,174,174
120793,1,bacteria,339268,Mycobacterium colombiense,141,141,141
120793,1,bacteria,560555,Mycobacterium mantenii,111,111,111
120793,1,bacteria,2775496,Mycobacterium senriense,79,79,79
120793,1,bacteria,701042,Mycobacterium marseillense,68,70,70
120793,1,bacteria,1138383,Mycobacterium paraintracellulare,1,2,2
2642494,1,bacteria,2857058,Mycobacterium sp. SMC-2,864,871,871
2642494,1,bacteria,2991728,Mycobacterium sp. Aquia_213,56,58,58
2642494,1,bacteria,3073562,Mycobacterium sp. Z3061,46,46,46
2642494,1,bacteria,2903536,Mycobacterium sp. 20KCMC460,40,41,41
2642494,1,bacteria,2991729,Mycobacterium sp. Aquia_216,33,33,33
2642494,1,bacteria,2099693,Mycobacterium sp. ITM-2016-00318,22,22,22
2642494,1,bacteria,2867005,Mycobacterium sp. IDR2000157661,20,20,20
2642494,1,bacteria,1545728,Mycobacterium sp. EPa45,16,16,16
2642494,1,bacteria,2099694,Mycobacterium sp. ITM-2016-00317,16,16,16
2642494,1,bacteria,2975989,Mycobacterium sp. NBC_00419,15,16,16
