parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,bracken_classified_reads,nt_rpm
909656,1,bacteria,821,Phocaeicola vulgatus,13444,15146,15146
909656,1,bacteria,357276,Phocaeicola dorei,1851,2070,2070
909656,1,bacteria,376805,Phocaeicola salanitronis,1,1,1
909656,1,bacteria,387090,Phocaeicola coprophilus,1,1,1
816,1,bacteria,329854,Bacteroides intestinalis,3334,3406,3406
816,1,bacteria,28119,Bacteroides zoogleoformans,1403,1465,1465
816,1,bacteria,818,Bacteroides thetaiotaomicron,779,842,842
816,1,bacteria,246787,Bacteroides cellulosilyticus,656,759,759
816,1,bacteria,820,Bacteroides uniformis,362,449,449
816,1,bacteria,817,Bacteroides fragilis,292,334,334
816,1,bacteria,28113,Bacteroides heparinolyticus,277,288,288
816,1,bacteria,47678,Bacteroides caccae,270,311,311
816,1,bacteria,28116,Bacteroides ovatus,230,396,396
2646097,1,bacteria,2763022,Bacteroides sp. M10,3,4,4
2646097,1,bacteria,2847299,Bacteroides sp. DH3716P,3,10,10
2646097,1,bacteria,3117552,Bacteroides sp. MSB163,3,3,3
2646097,1,bacteria,556259,Bacteroides sp. D2,1,1,1
2646097,1,bacteria,2972761,Bacteroides sp. BFG-257,1,15,15
816,1,bacteria,674529,Bacteroides faecis,5,5,5
816,1,bacteria,1796613,Bacteroides caecimuris,4,4,4
816,1,bacteria,371601,Bacteroides xylanisolvens,3,4,4
816,1,bacteria,291645,Bacteroides nordii,1,1,1
816,1,bacteria,2650157,Bacteroides zhangwenhongii,1,1,1
816,1,bacteria,2650158,Bacteroides luhongzhouii,1,1,1
816,1,bacteria,2715212,Bacteroides faecium,1,1,1
139043,1,bacteria,162156,uncultured Bacteroides sp.,1,1,1
816,1,bacteria,28111,Bacteroides eggerthii,1,1,1
838,1,bacteria,28131,Prevotella intermedia,3578,3717,3717
838,1,bacteria,28129,Prevotella denticola,3538,3651,3651
838,1,bacteria,589436,Prevotella fusca,2,2,2
838,1,bacteria,1177574,Prevotella jejuni,2,2,2
838,1,bacteria,28132,Prevotella melaninogenica,1,1,1
2638335,1,bacteria,712471,Prevotella sp. oral taxon 475,1,1,1
2884814,1,bacteria,2133944,Pseudoprevotella muciniphila,2418,2420,2420
2974257,1,bacteria,76123,Hoylesella enoeca,1078,1122,1122
2974257,1,bacteria,28127,Hoylesella buccalis,1,1,1
2974251,1,bacteria,2518605,Segatella hominis,1,1,1
2815786,1,bacteria,2606626,Sodaliphilus pleomorphus,831,836,836
2649562,1,bacteria,2576606,Duncaniella sp. B8,7,341,341
1918540,1,bacteria,1796646,Muribaculum intestinale,173,174,174
239759,1,bacteria,2585118,Alistipes communis,1026,1047,1047
239759,1,bacteria,214856,Alistipes finegoldii,1,1,1
239759,1,bacteria,328813,Alistipes onderdonkii,1,1,1
239759,1,bacteria,626932,Alistipes indistinctus,1,1,1
836,1,bacteria,837,Porphyromonas gingivalis,885,904,904
195950,1,bacteria,712710,Tannerella serpentiformis,640,640,640
375288,1,bacteria,823,Parabacteroides distasonis,4,5,5
375288,1,bacteria,387661,Parabacteroides johnsonii,1,1,1
397864,1,bacteria,397865,Barnesiella viscericola,2,2,2
1016,1,bacteria,327575,Capnocytophaga leadbetteri,4767,4908,4908
1016,1,bacteria,1019,Capnocytophaga sputigena,4281,4335,4335
2640652,1,bacteria,1705617,Capnocytophaga sp. oral taxon 323,1052,1314,1314
2640652,1,bacteria,1316596,Capnocytophaga sp. oral taxon 878,516,522,522
2640652,1,bacteria,1316593,Capnocytophaga sp. oral taxon 864,227,278,278
2640652,1,bacteria,2545799,Capnocytophaga sp. FDAARGOS_737,203,208,208
2640652,1,bacteria,2748316,Capnocytophaga sp. oral taxon 902,4,5,5
1016,1,bacteria,45243,Capnocytophaga haemolytica,1160,1164,1164
1016,1,bacteria,1017,Capnocytophaga gingivalis,716,718,718
1016,1,bacteria,28188,Capnocytophaga canimorsus,271,273,273
1016,1,bacteria,2708117,Capnocytophaga endodontalis,268,275,275
1016,1,bacteria,1018,Capnocytophaga ochracea,27,30,30
1016,1,bacteria,28189,Capnocytophaga cynodegmi,1,1,1
59735,1,bacteria,1585976,Bergeyella cardium,1317,1320,1320
34084,1,bacteria,34085,Riemerella anatipestifer,889,893,893
1301,1,bacteria,1335,Streptococcus equinus,9050,9533,9533
2608887,1,bacteria,2598453,Streptococcus sp. 116-D4,1577,1625,1625
2608887,1,bacteria,712633,Streptococcus sp. oral taxon 431,1150,1191,1191
2608887,1,bacteria,2610896,Streptococcus sp. LPB0220,1015,1140,1140
2608887,1,bacteria,1839799,Streptococcus sp. FDAARGOS_192,172,232,232
2608887,1,bacteria,2763068,Streptococcus sp. NSJ-72,4,6,6
2608887,1,bacteria,712623,Streptococcus sp. oral taxon 061,3,3,3
2608887,1,bacteria,1759399,Streptococcus sp. A12,3,3,3
2608887,1,bacteria,2598457,Streptococcus sp. KS 6,3,3,3
2608887,1,bacteria,712624,Streptococcus sp. oral taxon 064,2,3,3
2608887,1,bacteria,3098075,Streptococcus sp. S1,2,2,2
2608887,1,bacteria,3077723,Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A,2,2,2
2608887,1,bacteria,2759692,Streptococcus sp. Marseille-Q3533,1,1,1
2608887,1,bacteria,3077584,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,1,1,1
2608887,1,bacteria,3038077,Streptococcus sp. D7B5,1,1,1
2608887,1,bacteria,2975324,Streptococcus sp. FSL R7-0248,1,1,1
2608887,1,bacteria,2954513,Streptococcus sp. FSL K6-1323,1,1,1
2608887,1,bacteria,1902136,Streptococcus sp. NPS 308,1,1,1
2608887,1,bacteria,2576376,Streptococcus sp. 1643,1,1,1
1301,1,bacteria,1307,Streptococcus suis,2376,2476,2476
1301,1,bacteria,1305,Streptococcus sanguinis,837,862,862
