parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,bracken_classified_reads,nt_rpm
1016,1,bacteria,1017,Capnocytophaga gingivalis,1983419,2011484,80104
1016,1,bacteria,1019,Capnocytophaga sputigena,1411067,1463042,58263
1016,1,bacteria,327575,Capnocytophaga leadbetteri,1115292,1208911,48143
2640652,1,bacteria,2545799,Capnocytophaga sp. FDAARGOS_737,750062,811121,32301
2640652,1,bacteria,1316596,Capnocytophaga sp. oral taxon 878,166513,172319,6862
2640652,1,bacteria,1705617,Capnocytophaga sp. oral taxon 323,14163,23503,935
2640652,1,bacteria,1316593,Capnocytophaga sp. oral taxon 864,8103,13069,520
2640652,1,bacteria,2748316,Capnocytophaga sp. oral taxon 902,3995,9059,360
2640652,1,bacteria,1945657,Capnocytophaga sp. H2931,1407,2593,103
2640652,1,bacteria,1945658,Capnocytophaga sp. H4358,882,1640,65
2640652,1,bacteria,2708117,Capnocytophaga endodontalis,139991,151130,6018
2640652,1,bacteria,1018,Capnocytophaga ochracea,119995,2883289,114822
2640652,1,bacteria,45243,Capnocytophaga haemolytica,14874,15058,599
2640652,1,bacteria,28188,Capnocytophaga canimorsus,10176,10571,420
2640652,1,bacteria,1848904,Capnocytophaga stomatis,4768,4870,193
2640652,1,bacteria,28189,Capnocytophaga cynodegmi,1461,1550,61
196869,1,bacteria,2724135,Flavobacterium sp. CLA17,1885,2605,103
196869,1,bacteria,2478552,Flavobacterium sp. 140616W15,408,534,21
196869,1,bacteria,2732161,Flavobacterium sp. IMCC34852,276,381,15
196869,1,bacteria,2748319,Flavobacterium sp. I3-2,209,230,9
196869,1,bacteria,239,Flavobacterium sp.,183,279,11
196869,1,bacteria,2986835,Flavobacterium sp. N3904,183,234,9
196869,1,bacteria,3025668,Flavobacterium sp. KACC 22763,177,983,39
196869,1,bacteria,2739062,Flavobacterium sp. M31R6,175,238,9
196869,1,bacteria,2665645,Flavobacterium sp. SLB02,155,260,10
196869,1,bacteria,2775246,Flavobacterium sp. CS20,143,156,6
196869,1,bacteria,2986831,Flavobacterium sp. N2270,137,184,7
196869,1,bacteria,2871165,Flavobacterium sp. CHNK8,128,176,7
196869,1,bacteria,3073563,Flavobacterium sp. 20NA77.7,119,135,5
