filename,raw_read_count_1,raw_read_count_2,raw_mean_length_1,raw_mean_length_2,fastp_read_count_1,fastp_read_count_2,fastp_mean_length_1,fastp_mean_length_2,hisat_human_read_count,bowtie_human_read_count
CSI004_1,1000000,1000000,151.0,151.0,998395,998395,150.84382033163226,150.8470354919646,219525,218264
CSI004_10,1000000,1000000,151.0,151.0,998383,998383,150.84487716637804,150.8475274518897,219507,218273
CSI004_2,1000000,1000000,151.0,151.0,998374,998374,150.84579025495455,150.84815309693562,219490,218254
CSI004_3,1000000,1000000,151.0,151.0,998362,998362,150.8460598460278,150.84847179680315,219486,218278
CSI004_4,1000000,1000000,151.0,151.0,998373,998373,150.84435777009193,150.84705515874327,219508,218272
CSI004_5,1000000,1000000,151.0,151.0,998374,998374,150.84524536896996,150.84833439172093,219521,218283
CSI004_6,1000000,1000000,151.0,151.0,998373,998373,150.84506692388516,150.84870985092746,219505,218270
CSI004_7,1000000,1000000,151.0,151.0,998363,998363,150.84683126277716,150.84930130623832,219508,218272
CSI004_8,1000000,1000000,151.0,151.0,998399,998399,150.84612664876468,150.849033302317,219504,218279
CSI004_9,1000000,1000000,151.0,151.0,998383,998383,150.84484411293062,150.84777785679444,219497,218276
SI003_1,1000000,1000000,151.0,151.0,998220,998220,150.83110035863837,150.83422492035822,116238,114880
SI003_10,1000000,1000000,151.0,151.0,998173,998173,150.83070369565195,150.83318322575346,116190,114870
SI003_2,1000000,1000000,151.0,151.0,998201,998201,150.8316731800509,150.8347096426471,116238,114876
SI003_3,1000000,1000000,151.0,151.0,998184,998184,150.83098106160787,150.83420491612767,116227,114872
SI003_4,1000000,1000000,151.0,151.0,998197,998197,150.83187386858506,150.83501653481227,116225,114875
SI003_5,1000000,1000000,151.0,151.0,998193,998193,150.83200543381892,150.83470931974077,116212,114872
SI003_6,1000000,1000000,151.0,151.0,998193,998193,150.82963414890708,150.83254240412424,116204,114871
SI003_7,1000000,1000000,151.0,151.0,998188,998188,150.82977755693315,150.8321819136275,116202,114865
SI003_8,1000000,1000000,151.0,151.0,998214,998214,150.83002742898816,150.83323716157057,116211,114865
SI003_9,1000000,1000000,151.0,151.0,998199,998199,150.83127713011132,150.83397999797634,116198,114868
SI007_1,1000000,1000000,151.0,151.0,998354,998354,150.84325299442884,150.84583023656938,201854,200599
SI007_10,1000000,1000000,151.0,151.0,998321,998321,150.84362344376208,150.84620377614013,201815,200577
SI007_2,1000000,1000000,151.0,151.0,998338,998338,150.84253930031713,150.84474997445756,201825,200565
SI007_3,1000000,1000000,151.0,151.0,998342,998342,150.84383307523873,150.84625909758378,201804,200577
SI007_4,1000000,1000000,151.0,151.0,998341,998341,150.8432229068024,150.84585126725239,201821,200571
SI007_5,1000000,1000000,151.0,151.0,998332,998332,150.8426094726003,150.8462034673836,201831,200580
SI007_6,1000000,1000000,151.0,151.0,998348,998348,150.84346941146774,150.84736084010785,201839,200595
SI007_7,1000000,1000000,151.0,151.0,998301,998301,150.84454888856166,150.8474237729903,201821,200579
SI007_8,1000000,1000000,151.0,151.0,998328,998328,150.84138880207706,150.84465125690153,201840,200582
SI007_9,1000000,1000000,151.0,151.0,998347,998347,150.84330598479286,150.8466024338231,201831,200598
