"","category","AP21-1_S1","AP21-2_S2","AP31-1_S3","AP31-2_S4","AP32-1_S5","AP32-2_S6","AP40-1_S7","AP40-2_S9","AP53-1_S10","AP53-2_S11","CNEG-1_S8","CNEG-2_S12","mean_rpm"
"Severe acute respiratory syndrome-related coronavirus","viruses",228,637,373,285,466,174246,20136,361,398,533,329796,344425,72657
"Human betaherpesvirus 5","viruses",0,0,0,76208,0,0,0,0,1,0,0,0,38104.5
"Prevotella melaninogenica","bacteria",20370,38132,6794,56204,17860,39606,39997,26837,64388,13090,0,0,32327.8
"Moraxella catarrhalis","bacteria",19626,10803,23304,12786,113868,29353,2610,29898,7638,19226,0,0,26911.2
"Rothia mucilaginosa","bacteria",51079,23639,18635,26805,38694,16188,19112,16422,36575,20174,0,0,26732.3
"Streptococcus pneumoniae","bacteria",9694,49951,100563,22728,7647,20026,2359,25346,7235,3487,0,0,24903.6
"Human mastadenovirus C","viruses",0,1,93,783,0,1,188849,229,11,13,76,0,21117.3333333333
"Schaalia odontolytica","bacteria",17075,24125,6835,18876,31003,26184,27517,11376,22018,13959,0,0,19896.8
"Neisseria mucosa","bacteria",21091,18731,12527,15134,39654,4751,36115,1399,3921,9336,0,0,16265.9
"Haemophilus parainfluenzae","bacteria",11871,57397,17080,12685,37031,8976,9794,5119,7929,8925,1526,0,16212.0909090909
"Streptococcus mitis","bacteria",4600,8354,27890,27830,10200,19843,4393,31762,11877,8788,0,0,15553.7
"Dolosigranulum pigrum","bacteria",4687,1642,2330,1834,6183,1608,286,4569,14631,67003,0,0,10477.3
"Haemophilus parahaemolyticus","bacteria",2477,367,3493,24593,12824,9164,1447,3212,3264,1356,0,0,6219.7
"Haemophilus influenzae","bacteria",196,261,23174,16474,277,1252,2393,704,11385,5804,0,0,6192
"Neisseria flavescens","bacteria",2917,12442,1640,3961,17641,2154,3786,375,1495,2685,0,0,4909.6
"Neisseria meningitidis","bacteria",3160,8260,4311,5183,17734,2188,5479,450,1135,2411,0,332,4603.90909090909
"Stutzerimonas stutzeri","bacteria",880,823,150,35,13,19,56,53,149,129,19844,20632,3565.25
"Veillonella parvula","bacteria",3084,6249,2413,3748,4713,3141,2750,1621,5193,1511,0,0,3442.3
"Burkholderia gladioli","bacteria",3725,2395,7151,2377,1163,2657,1186,1728,4576,6852,0,0,3381
"Influenza A virus","viruses",0,0,4,0,0,0,0,6643,0,0,0,0,3323.5
"Campylobacter concisus","bacteria",4737,4026,9031,2644,2597,1595,3501,626,1681,1300,0,0,3173.8
"Corynebacterium propinquum","bacteria",428,1273,645,1915,4666,3274,132,868,866,11348,0,0,2541.5
"Actinomyces meyeri","bacteria",1803,2148,611,2614,4195,2063,2744,1854,2230,1358,0,0,2162
"Haemophilus haemolyticus","bacteria",1882,2102,3540,4452,1171,1072,1505,5119,759,871,76,0,2049.90909090909
"Moraxella nonliquefaciens","bacteria",1009,712,773,1169,0,25,392,2582,409,11195,0,0,2029.55555555556
"Staphylococcus aureus","bacteria",629,189,1122,204,1759,661,14571,519,1403,463,76,0,1963.27272727273
"Fusobacterium nucleatum","bacteria",7148,2531,862,579,2093,1019,487,355,2398,234,0,0,1770.6
"Neisseria lactamica","bacteria",363,375,14092,1040,475,189,408,40,143,357,0,0,1748.2
"Streptococcus pyogenes","bacteria",12440,127,1737,1432,119,225,61,156,751,118,0,0,1716.6
"Delftia acidovorans","bacteria",48,0,24,0,0,0,0,0,19,18,6716,2662,1581.16666666667
"Corynebacterium pseudodiphtheriticum","bacteria",421,614,1051,1411,369,368,184,605,842,7538,0,0,1340.3
"Parvimonas micra","bacteria",8476,216,58,39,251,392,256,376,3098,92,0,0,1325.4
"Gemella haemolysans","bacteria",1028,327,2094,2773,837,2393,294,1778,695,609,0,0,1282.8
"Dialister pneumosintes","bacteria",1935,1268,174,1030,719,1650,2255,1368,1145,637,0,0,1218.1
"Prevotella intermedia","bacteria",1659,1229,562,435,970,1611,940,1927,1790,333,0,0,1145.6
"Capnocytophaga gingivalis","bacteria",482,5415,939,277,2427,484,208,62,186,602,0,0,1108.2
"Burkholderia pseudomallei","bacteria",1489,695,2237,796,354,900,281,671,1321,2045,0,0,1078.9
"Capnocytophaga leadbetteri","bacteria",466,3908,1084,110,3293,112,1036,76,125,206,0,0,1041.6
"Rhinovirus B","viruses",2822,0,2,52,1979,0,0,0,0,2,0,0,971.4
"Burkholderia glumae","bacteria",1130,675,1827,623,289,657,247,467,1054,1690,0,0,865.9
"Enterovirus L","viruses",1970,10,10,0,2022,0,0,0,0,2,0,0,802.8
"Staphylococcus epidermidis","bacteria",1600,193,180,88,192,57,535,637,812,1249,76,3327,745.5
"Acinetobacter lwoffii","bacteria",393,10,0,0,0,0,0,310,2110,0,0,0,705.75
"Aspergillus nidulans","eukaryota",0,0,0,0,0,0,0,0,15,0,0,1331,673
"Gemella morbillorum","bacteria",1663,616,454,201,322,253,335,122,2327,211,0,0,650.4
"Betapolyomavirus quartihominis","viruses",0,0,0,647,0,0,0,0,0,0,0,0,647
"Capnocytophaga sputigena","bacteria",324,2676,93,135,2124,194,123,32,192,229,0,0,612.2
"Eikenella corrodens","bacteria",395,425,142,90,3219,52,142,36,209,18,0,0,472.8
"Moraxella osloensis","bacteria",86,41,107,2206,95,29,19,143,30,275,1831,0,442
"Rhinovirus A","viruses",299,1,539,934,16,24,721,66,89,1375,0,0,406.4
"Neisseria gonorrhoeae","bacteria",149,1432,363,282,476,136,391,29,153,136,0,0,354.7
"Fusobacterium necrophorum","bacteria",1287,21,0,0,25,0,69,0,0,0,0,0,350.5
"Acanthamoeba culbertsoni","eukaryota",40,0,0,0,0,0,0,0,0,44,915,0,333
"Toxoplasma gondii","eukaryota",328,353,452,236,249,229,155,515,286,570,152,0,320.454545454545
"Human respirovirus 3","viruses",0,0,0,620,0,0,0,0,2,0,0,0,311
"Escherichia coli","bacteria",230,448,519,422,171,105,81,484,182,255,305,332,294.5
"Burkholderia thailandensis","bacteria",358,175,505,177,96,256,96,127,480,561,0,0,283.1
"Acinetobacter baumannii","bacteria",254,76,64,110,46,29,46,2074,95,74,76,0,267.636363636364
"Streptococcus sanguinis","bacteria",97,113,511,474,254,291,79,180,402,197,0,0,259.8
"Schaalia meyeri","bacteria",96,591,243,281,152,146,147,177,477,211,0,0,252.1
"Klebsiella aerogenes","bacteria",0,0,0,11,0,0,28,0,95,704,0,0,209.5
"Proteus mirabilis","bacteria",78,25,89,0,44,0,13,803,641,32,76,0,200.111111111111
"Rhinovirus C","viruses",2,74,779,7,0,118,19,0,0,364,0,0,194.714285714286
"Finegoldia magna","bacteria",168,91,20,12,50,72,18,99,239,616,152,665,183.5
"Streptococcus anginosus","bacteria",264,66,304,74,144,178,135,78,520,53,0,0,181.6
"Streptococcus suis","bacteria",92,107,225,256,162,165,157,215,246,169,0,0,179.4
