Accession,Organism,TaxID
GCF_000155315.1,Corynebacterium pseudodiphtheriticum,37637
GCF_000369725.1,Dolosigranulum pigrum,29394
GCF_000012625.1,Moraxella catarrhalis,480
GCF_000013645.1,Veillonella parvula,29466
GCF_000146905.1,Streptococcus mitis,28037
GCF_000007045.1,Streptococcus pneumoniae,1313
GCF_000013425.1,Staphylococcus aureus,1280
GCF_000157815.1,Rothia mucilaginosa,43675
GCF_000368625.1,Schaalia odontolytica,1660
GCF_000156055.1,Gemella haemolysans,1379
GCF_000306845.1,Neisseria subflava,28449
GCF_000007325.1,Fusobacterium nucleatum,851
GCF_000257307.1,Porphyromonas catoniae,41976
GCF_000154485.1,Capnocytophaga ochracea,1018
GCF_000011525.1,Lactobacillus gasseri,1596
GCF_003288405.1,Alloprevotella rava,671218
GCF_000009105.1,Neisseria meningitidis,487
GCF_000240185.1,Streptococcus salivarius,1304
GCF_000007485.1,Streptococcus gordonii,1302
GCF_000306275.1,Segatella salivae,228604
GCF_000009745.1,Haemophilus influenzae,727
GCF_000573095.1,Campylobacter concisus,199
GCF_000281875.1,Granulicatella adiacens,46124
GCF_000298455.1,Leptotrichia buccalis,40542
GCF_000278356.1,Oribacterium sinus,237576
GCF_000281885.1,Kingella denitrificans,502
GCF_005259145.1,Peptostreptococcus stomatis,341694
GCF_000173975.1,Prevotella melaninogenica,28132
GCF_000162695.1,Actinomyces viscosus,1656
GCF_000742135.1,Haemophilus parainfluenzae,729
