Accession,Organism,TaxID
,Abiotrophia defectiva,46125
,Actinomyces graevenitzii,55565
,Actinomyces israelii,1659
,Actinomyces oris,544580
,Alloprevotella tannerae,76122
,Lancefieldella rimae,1383
,Campylobacter gracilis,824
,Capnocytophaga granulosa,45242
,Capnocytophaga leadbetteri,327575
,Capnocytophaga sputigena,1019
,Catonella morbi,43997
,Centipeda periodontii,82203
,Corynebacterium durum,61592
,Corynebacterium matruchotii,43768
,Corynebacterium propinquum,43769
,Cryptobacterium curtum,84163
,Dialister invisus,218538
,Dialister pneumosintes,39950
,Eggerthella lenta,84112
,Eikenella corrodens,539
,Elusimicrobium minutum,423605
,[Eubacterium] brachy,35517
,[Eubacterium] nodatum,35518
,Fenollaria massiliensis,938288
,Filifactor alocis,143361
,Fusobacterium naviforme,77917
,Gemella morbillorum,29391
,Haemophilus haemolyticus,726
,Johnsonella ignava,43995
,Kingella oralis,505
,Lachnoanaerobaculum saburreum,467210
,Lautropia mirabilis,47671
,Pseudoleptotrichia goodfellowii,157692
,Leptotrichia hofstadii,157688
,Megasphaera micronuciformis,187326
,Prevotella dentalis,52227
,Moraxella nonliquefaciens,478
,Moryella indoligenes,371674
,Neisseria flavescens,484
,Neisseria oralis,1107316
,Parvimonas micra,33033
,Peptoniphilus asaccharolyticus,1258
,Prevotella denticola,28129
,Prevotella histicola,470565
,Prevotella scopos,589437
,Rothia aeria,172042
,Rothia dentocariosa,2047
,Scardovia wiggsiae,230143
,Selenomonas noxia,135083
,Selenomonas sputigena,69823
,Shuttleworthella satelles,177972
,Simonsiella muelleri,72
,Slackia exigua,84109
,Solobacterium moorei,102148
,Streptococcus anginosus,1328
,Streptococcus constellatus,76860
,Streptococcus intermedius,1338
,Streptococcus parasanguinis,1318
,Streptococcus sanguinis,1305
,Streptococcus vestibularis,1343
,Tannerella forsythia,28112
,Treponema denticola,158
,Treponema lecithinolyticum,53418
,Treponema medium,58231
,Corynebacterium otitidis,29321
