file,sequence_id,read_count,read_mean_length,read_abundance
throat_with_pathogen_02_5_2.fastq,NZ_AP019823.1,847,150.98819362455725,0.005166744950681071
throat_with_pathogen_02_5_2.fastq,NZ_CP046316.1,200,150.995,0.001220010614092343
throat_with_pathogen_02_5_2.fastq,NZ_CP041379.1,3433,150.98193999417418,0.020941482190895061
throat_with_pathogen_02_5_2.fastq,NZ_CP068102.1,296,150.97972972972974,0.001805615708856667
throat_with_pathogen_02_5_2.fastq,NZ_CP097843.1,218,150.87614678899084,0.001329811569360653
throat_with_pathogen_02_5_2.fastq,NZ_CP053939.1,660,150.9878787878788,0.004026035026504731
throat_with_pathogen_02_5_2.fastq,NZ_CP009227.1,1845,150.98915989159892,0.011254597915001861
throat_with_pathogen_02_5_2.fastq,NZ_CP050820.1,545,150.98715596330274,0.003324528923401634
throat_with_pathogen_02_5_2.fastq,NZ_CP072373.1,3689,150.9579831932773,0.022503095776933258
throat_with_pathogen_02_5_2.fastq,NZ_CP026548.1,280,150.99285714285713,0.001708014859729280
throat_with_pathogen_02_5_2.fastq,NZ_CP048246.1,538,150.98698884758363,0.003281828551908401
throat_with_pathogen_02_5_2.fastq,NZ_CP014239.1,231,150.99134199134198,0.001409112259276656
throat_with_pathogen_02_5_2.fastq,NZ_CP027228.1,867,150.90080738177625,0.005288746012090305
throat_with_pathogen_02_5_2.fastq,NZ_AP014938.1,2103,150.98668568711363,0.012828411607180982
throat_with_pathogen_02_5_2.fastq,NZ_CP007570.1,724,150.98480662983425,0.004416438423014280
throat_with_pathogen_02_5_2.fastq,NZ_CP031243.1,755,150.91390728476821,0.004605540068198593
throat_with_pathogen_02_5_2.fastq,NZ_AP019831.1,1359,150.98528329654158,0.008289972122757469
throat_with_pathogen_02_5_2.fastq,NZ_CP050497.1,1462,150.98700410396717,0.008918277589015025
throat_with_pathogen_02_5_2.fastq,NZ_CP033459.1,2419,150.98511781727987,0.014756028377446884
throat_with_pathogen_02_5_2.fastq,NZ_CP040798.1,784,150.98086734693877,0.004782441607241983
throat_with_pathogen_02_5_2.fastq,NZ_AP019822.1,490,150.9795918367347,0.002989026004526239
throat_with_pathogen_02_5_2.fastq,NZ_CP125087.1,220,150.9909090909091,0.001342011675501577
throat_with_pathogen_02_5_2.fastq,NZ_CP063424.1,457,150.98249452954047,0.002787724253201003
throat_with_pathogen_02_5_2.fastq,NZ_CP064367.1,2644,150.96898638426626,0.016128540318300768
throat_with_pathogen_02_5_2.fastq,NZ_CP017295.1,340,150.76470588235293,0.002074018043956983
throat_with_pathogen_02_5_2.fastq,NZ_CP012067.1,623,150.92937399678974,0.003800333062897647
throat_with_pathogen_02_5_2.fastq,NZ_CP020566.1,1793,150.93195761293921,0.010937395155337851
throat_with_pathogen_02_5_2.fastq,NZ_AP019846.1,1078,150.98701298701297,0.006575857209957727
throat_with_pathogen_02_5_2.fastq,NZ_CP017042.1,1882,150.98405951115834,0.011480299878608944
throat_with_pathogen_02_5_2.fastq,NZ_CP015402.2,175,150.97142857142856,0.001067509287330800
throat_with_pathogen_02_5_2.fastq,NZ_CP126076.1,1585,150.9640378548896,0.009668584116681814
throat_with_pathogen_02_5_2.fastq,NZ_CP028101.1,312,150.9903846153846,0.001903216557984054
throat_with_pathogen_02_5_2.fastq,NZ_CP019668.1,314,150.97770700636943,0.001915416664124978
throat_with_pathogen_02_5_2.fastq,NZ_CP014264.1,1193,150.7761944677284,0.007277363313060824
throat_with_pathogen_02_5_2.fastq,NZ_CP027234.1,290,150.98620689655172,0.001769015390433897
throat_with_pathogen_02_5_2.fastq,NZ_CP072246.1,2201,150.9818264425261,0.013426216808086231
throat_with_pathogen_02_5_2.fastq,NZ_CP127164.1,458,150.98471615720524,0.002793824306271064
throat_with_pathogen_02_5_2.fastq,NZ_CP124126.1,277,150.97472924187727,0.001689714700517894
throat_with_pathogen_02_5_2.fastq,NZ_CP027232.1,289,150.9757785467128,0.001762915337363435
throat_with_pathogen_02_5_2.fastq,NZ_CP049272.1,537,150.97951582867785,0.003275728498837940
throat_with_pathogen_02_5_2.fastq,NZ_CP050133.1,615,150.90731707317073,0.003751532638333954
throat_with_pathogen_02_5_2.fastq,NZ_CP031253.1,856,150.98130841121494,0.005221645428315227
throat_with_pathogen_02_5_2.fastq,NZ_CP012410.1,968,150.98553719008265,0.005904851372206938
throat_with_pathogen_02_5_2.fastq,NZ_AP019827.1,251,150.99203187250995,0.001531113320685890
throat_with_pathogen_02_5_2.fastq,NZ_AP019735.1,1054,150.98007590132826,0.006429455936266646
throat_with_pathogen_02_5_2.fastq,NZ_CP027229.1,521,150.98848368522073,0.003178127649710552
throat_with_pathogen_02_5_2.fastq,NZ_CP116438.1,2361,150.97966963151208,0.014402225299360104
throat_with_pathogen_02_5_2.fastq,NZ_CP014231.1,158,151.0,0.000963808385132951
throat_with_pathogen_02_5_2.fastq,NZ_CP013334.1,805,150.983850931677,0.004910542721721679
throat_with_pathogen_02_5_2.fastq,NZ_CP072258.1,317,150.98107255520506,0.001933716823336363
throat_with_pathogen_02_5_2.fastq,NZ_CP032364.1,454,150.98458149779736,0.002769424093989618
throat_with_pathogen_02_5_2.fastq,NZ_CP028415.1,395,150.9873417721519,0.002409520962832377
throat_with_pathogen_02_5_2.fastq,NZ_CP114055.1,1320,150.98333333333332,0.008052070053009461
throat_with_pathogen_02_5_2.fastq,NZ_CP066560.1,1023,150.98631476050832,0.006240354291082333
throat_with_pathogen_02_5_2.fastq,NZ_CP072236.1,474,150.9789029535865,0.002891425155398852
throat_with_pathogen_02_5_2.fastq,NZ_CP022379.1,4316,150.95250231696014,0.026327829052112752
throat_with_pathogen_02_5_2.fastq,NZ_CP006943.1,944,150.99046610169492,0.005758450098515857
throat_with_pathogen_02_5_2.fastq,NZ_CP012196.1,4610,150.98546637744036,0.028121244654828497
throat_with_pathogen_02_5_2.fastq,NZ_CP046027.1,187,150.98395721925132,0.001140709924176340
throat_with_pathogen_02_5_2.fastq,NZ_CP050134.2,902,150.98447893569846,0.005502247869556465
throat_with_pathogen_02_5_2.fastq,NZ_CP040004.1,360,150.9611111111111,0.002196019105366217
throat_with_pathogen_02_5_2.fastq,NZ_CP065726.1,496,150.9858870967742,0.003025626322949010
throat_with_pathogen_02_5_2.fastq,NZ_CP020431.2,306,150.9967320261438,0.001866616239561284
throat_with_pathogen_02_5_2.fastq,NZ_CP044230.1,1156,150.98442906574394,0.007051661349453740
throat_with_pathogen_02_5_2.fastq,NZ_CP046315.1,417,150.9928057553957,0.002543722130382534
throat_with_pathogen_02_5_2.fastq,NZ_CP121769.1,332,150.96987951807228,0.002025217619393289
throat_with_pathogen_02_5_2.fastq,NZ_CP043435.1,1372,150.98032069970844,0.008369272812673471
throat_with_pathogen_02_5_2.fastq,NZ_CP126983.1,898,150.97772828507794,0.005477847657274619
throat_with_pathogen_02_5_2.fastq,NZ_CP038817.1,566,150.9876325088339,0.003452630037881330
throat_with_pathogen_02_5_2.fastq,NZ_CP022022.1,268,150.98880597014926,0.001634814222883739
throat_with_pathogen_02_5_2.fastq,NZ_CP029206.1,257,150.9727626459144,0.001567713639108660
throat_with_pathogen_02_5_2.fastq,NZ_CP050870.1,592,150.98648648648648,0.003611231417713334
