Accession,Organism,TaxID
CAKAGO010000001.1,[Eubacterium] brachy,35517
NZ_CP053988.1,Abiotrophia defectiva,46125
NZ_AP028040.1,Achromobacter xylosoxidans,85698
CP097095.1,Actinomyces graevenitzii,55565
NZ_CP124548.1,Actinomyces israelii,1659
NZ_CP014232.1,Actinomyces oris,544580
NZ_CP118095.1,Aerococcus christensenii,87541
CAKAFU010000002.1,Alloprevotella tannerae,76122
NZ_CP184347.1,Bacteroides pyogenes,310300
NZ_CP066050.1,Brucella anthropi,529
NZ_CP085963.1,Campylobacter gracilis,824
NZ_CP171122.1,Capnocytophaga granulosa,45242
NZ_CP022385.1,Capnocytophaga sputigena,1019
NZ_CP021383.1,Cellulosimicrobium cellulans,1710
NZ_CP047200.1,Corynebacterium durum,61592
NZ_CP050134.2,Corynebacterium matruchotii,43768
NZ_CP068161.1,Corynebacterium propinquum,43769
NC_013170.1,Cryptobacterium curtum,84163
NZ_CP017037.1,Dialister pneumosintes,39950
NZ_AP025575.1,Eggerthella lenta,84112
NZ_CP096649.1,Fenollaria massiliensis,938288
NC_016630.1,Filifactor alocis,143361
NZ_CP028108.1,Fusobacterium periodonticum,860
NZ_CP083636.1,Gemella morbillorum,29391
NZ_CP085953.1,Granulicatella elegans,137732
NZ_CP031243.1,Haemophilus haemolyticus,726
NZ_CP059569.1,Kingella oralis,505
NZ_CP083392.1,Lactobacillus crispatus,47770
NZ_CP157500.1,Lactococcus lactis,1358
NC_013203.1,Lancefieldella parvula,1382
NZ_AP019823.1,Leptotrichia hofstadii,157688
NZ_AP019846.1,Leptotrichia hongkongensis,554406
NZ_CP101528.1,Micrococcus luteus,1270
NZ_CP066057.1,Moraxella nonliquefaciens,478
NZ_LS483369.1,Neisseria cinerea,483
NZ_CP020452.2,Neisseria mucosa,488
NZ_CP039886.1,Neisseria flavescens,484
NZ_GG668534.1,Oribacterium sinus,237576
NC_014734.1,Paludibacter propionicigenes,185300
NZ_CP031971.1,Parvimonas micra,33033
NZ_CP129525.1,Pediococcus pentosaceus,1255
NZ_JAETXN010000001.1,Peptoniphilus asaccharolyticus,1258
NZ_CP165621.1,Peptoniphilus lacrimalis,33031
NC_019969.1,Prevotella dentalis,52227
NZ_CP072373.1,Prevotella denticola,28129
NZ_CP072368.1,Prevotella histicola,470565
NZ_CP016206.1,Prevotella scopos,589437
NZ_CP033719.1,Propionibacterium acidifaciens,556499
NZ_AP019822.1,Pseudoleptotrichia goodfellowii,157692
NZ_AP025585.1,Pyramidobacter piscolens,638849
NZ_CP147879.1,Roseomonas mucosa,207340
NZ_CP068102.1,Rothia aeria,172042
NZ_CP054018.1,Rothia dentocariosa,2047
NZ_JBHTKF010000001.1,Scardovia wiggsiae,230143
NZ_CP110231.1,Selenomonas sputigena,69823
NZ_CAUVOZ010000001.1,Shuttleworthella satelles,177972
NZ_CP083930.1,Simonsiella muelleri,72
NZ_CP096601.1,Slackia exigua,84109
NZ_AP028934.1,Solobacterium moorei,102148
NZ_CP073857.1,Staphylococcus epidermidis,1282
NZ_CP118053.1,Streptococcus anginosus,1328
NZ_CP185263.1,Streptococcus constellatus,76860
NZ_AP014880.1,Streptococcus intermedius,1338
NZ_CP185272.1,Streptococcus parasanguinis,1318
NZ_CP040798.1,Streptococcus sanguinis,1305
NZ_CP185269.1,Streptococcus vestibularis,1343
NC_016610.1,Tannerella forsythia,28112
NZ_CP109619.1,Treponema denticola,158
NZ_CP027017.1,Treponema medium,58231
NZ_CP020566.1,Veillonella atypica,39777
