file,sequence_id,read_count,read_mean_length,read_abundance
CSI004_2_1.fastq,NZ_CAKAHJ010000001.1,4438,150.92721946822894,0.020334106133220925
CSI004_2_1.fastq,NZ_LS483444.1,2944,150.7367527173913,0.013488870765255161
CSI004_2_1.fastq,NZ_LT635457.1,2448,150.98325163398692,0.011216289277630650
CSI004_2_1.fastq,NZ_CP079201.1,563,150.97513321492008,0.002579563261154435
CSI004_2_1.fastq,NC_013203.1,8170,150.98090575275398,0.037433449100589225
CSI004_2_1.fastq,NZ_CALHUL010000006.1,2858,150.98285514345696,0.013094834458933169
CSI004_2_1.fastq,NZ_CP083637.1,2221,150.81629896443044,0.010176216701641207
CSI004_2_1.fastq,NZ_LR134375.1,2050,150.98048780487804,0.009392725906512595
CSI004_2_1.fastq,NZ_CAMNMG010000001.1,5917,150.96772012844346,0.027110614238456111
CSI004_2_1.fastq,NZ_CP079822.1,3153,150.97970187123374,0.014446470625967909
CSI004_2_1.fastq,NZ_CP031243.1,5107,150.89563344429214,0.023399342051004794
CSI004_2_1.fastq,NZ_CAJTJS010000001.1,4010,150.98179551122195,0.018373088236641712
CSI004_2_1.fastq,NZ_CP049272.1,3975,150.9806289308176,0.018212724623603693
CSI004_2_1.fastq,NC_015875.1,311,150.97749196141478,0.001424945247280691
CSI004_2_1.fastq,NZ_CP022384.1,6786,150.89655172413794,0.031092213659314378
CSI004_2_1.fastq,NZ_CP024696.1,9664,150.97713162251657,0.044278684468554985
CSI004_2_1.fastq,NZ_CP126965.1,8684,150.9805389221557,0.039788503303490430
CSI004_2_1.fastq,NZ_AP022321.1,5177,150.98126327989183,0.023720069277080834
CSI004_2_1.fastq,NZ_CP030820.1,2919,150.90167865707434,0.013374325327370861
CSI004_2_1.fastq,NZ_CAKAIK010000001.1,4427,150.9832843912356,0.020283706140551833
CSI004_2_1.fastq,NZ_CALGPY010000005.1,726,150.97382920110192,0.003326399516160070
CSI004_2_1.fastq,NZ_CP022386.1,1581,150.955091714105,0.007243853491803128
CSI004_2_1.fastq,NZ_CP022379.1,5372,150.95141474311242,0.024613523692578371
CSI004_2_1.fastq,NZ_CP028101.1,2941,150.98265895953756,0.013475125312709045
CSI004_2_1.fastq,NZ_CP039886.1,3414,150.98330404217927,0.015642324997480000
CSI004_2_1.fastq,NZ_CP092048.1,3100,150.98419354838708,0.014203634297653193
CSI004_2_1.fastq,NZ_AP018768.1,2247,150.97285269247885,0.010295343957040879
CSI004_2_1.fastq,NZ_CP035368.2,9749,150.91352959277876,0.044668138957361603
CSI004_2_1.fastq,NZ_CP033459.1,7805,150.9777065983344,0.035761085707478442
CSI004_2_1.fastq,NZ_CP012544.1,1611,150.97951582867785,0.007381308017264289
CSI004_2_1.fastq,NZ_CP079193.1,4744,150.93254637436763,0.021736142292924757
CSI004_2_1.fastq,NZ_CP019721.1,4594,150.97474967348717,0.021048869665618957
CSI004_2_1.fastq,CAKAFU010000002.1,2571,150.98210812913263,0.011779852832021407
CSI004_2_1.fastq,AP018050.1,9367,150.96455642147967,0.042917884666489506
CSI004_2_1.fastq,NZ_CP101528.1,8269,150.97883661869633,0.037887049034611049
CSI004_2_1.fastq,NZ_LR134378.1,1186,150.9814502529511,0.005434035573231189
CSI004_2_1.fastq,NC_019960.1,1182,150.98054145516073,0.005415708303169701
CSI004_2_1.fastq,NZ_CP072363.1,4049,150.94813534205977,0.018551779119741218
CSI004_2_1.fastq,NZ_CP036550.1,4054,150.98371978293045,0.018574688207318078
CSI004_2_1.fastq,NZ_CP102197.1,2384,150.9010067114094,0.010923052956646842
CSI004_2_1.fastq,NZ_CP020566.1,7015,150.95381325730577,0.032141449870334564
CSI004_2_1.fastq,NZ_CP024703.1,8212,150.95518753044325,0.037625885436234845
CSI004_2_1.fastq,CAHJXR010000003.1,4930,150.93772819472616,0.022588360350783949
CSI004_2_1.fastq,ACIL03000013.1,2373,150.97977243994944,0.010872652963977750
CSI004_2_1.fastq,NZ_UQJH01000001.1,7428,150.97845988152935,0.034033740504183174
CSI004_2_1.fastq,NZ_CP012646.1,58,151.0,0.000265745415891576
CSI004_2_1.fastq,NZ_CP038817.1,2785,150.9310592459605,0.012760361780311013
CSI004_2_1.fastq,NZ_CP072390.1,345,150.9855072463768,0.001580727042803339
CSI004_2_1.fastq,NZ_CAKOJV010000001.1,645,150.98294573643412,0.002955272297414939
CSI004_2_1.fastq,NZ_CP073114.1,2583,150.95315524583816,0.011834834642205871
CSI004_2_1.fastq,NZ_CP053939.1,3578,150.93012856344328,0.016393743070001007
CSI004_2_1.fastq,NZ_CABPWA010000001.1,2080,150.98076923076923,0.009530180431973755
CSI004_2_1.fastq,NZ_AP019831.1,9446,150.97258098666103,0.043279848250203888
CSI004_2_1.fastq,AP023461.1,8,150.875,0.000036654540122976
throat_with_pathogen_01_7_1.fastq,NZ_CP023482.1,722,150.90304709141273,0.002468046995443343
throat_with_pathogen_01_7_1.fastq,NZ_CP013745.1,2073,150.98408104196815,0.007086234655892035
throat_with_pathogen_01_7_1.fastq,NZ_CP068102.1,986,150.98073022312374,0.003370490772170548
throat_with_pathogen_01_7_1.fastq,NZ_AP019823.1,1404,150.97649572649573,0.004799360085321957
throat_with_pathogen_01_7_1.fastq,NZ_CP039712.1,131,150.99236641221373,0.000447803540724485
throat_with_pathogen_01_7_1.fastq,NZ_CP046316.1,658,150.98024316109422,0.002249272746539778
throat_with_pathogen_01_7_1.fastq,NZ_CP125315.1,293,150.96245733788396,0.001001575858261633
throat_with_pathogen_01_7_1.fastq,NZ_CP098483.1,567,150.984126984127,0.001938203111380021
throat_with_pathogen_01_7_1.fastq,NZ_CP126745.1,945,150.9777777777778,0.003230338518966702
throat_with_pathogen_01_7_1.fastq,NZ_CP009933.1,548,150.97992700729927,0.001873254506236775
throat_with_pathogen_01_7_1.fastq,NZ_CP029066.1,1813,150.9795918367347,0.006197464269721302
throat_with_pathogen_01_7_1.fastq,NZ_CP012098.1,400,150.9925,0.001367339055647281
throat_with_pathogen_01_7_1.fastq,NZ_CP041379.1,738,150.98644986449864,0.002522740557669234
throat_with_pathogen_01_7_1.fastq,NZ_CP017031.1,830,150.97831325301206,0.002837228540468108
throat_with_pathogen_01_7_1.fastq,NZ_CP097843.1,299,150.98327759197323,0.001022085944096343
throat_with_pathogen_01_7_1.fastq,NZ_CP027862.1,2353,150.93752656183597,0.008043371994845132
throat_with_pathogen_01_7_1.fastq,NZ_CP009227.1,984,150.98373983739836,0.003363654076892312
throat_with_pathogen_01_7_1.fastq,NZ_CP046246.1,988,150.9827935222672,0.003377327467448785
throat_with_pathogen_01_7_1.fastq,NZ_CP050820.1,805,150.98136645962734,0.002751769849490153
throat_with_pathogen_01_7_1.fastq,NZ_CP072373.1,725,150.98206896551724,0.002478302038360697
throat_with_pathogen_01_7_1.fastq,NC_012756.1,638,150.9780564263323,0.002180905793757413
throat_with_pathogen_01_7_1.fastq,NZ_CP011861.1,1890,150.97830687830688,0.006460677037933404
throat_with_pathogen_01_7_1.fastq,NZ_CP025420.1,766,150.9804177545692,0.002618454291564543
throat_with_pathogen_01_7_1.fastq,NZ_CP026548.1,845,150.9775147928994,0.002888503755054882
throat_with_pathogen_01_7_1.fastq,NZ_CP010796.1,103,150.98058252427185,0.000352089806829175
throat_with_pathogen_01_7_1.fastq,NZ_CP014233.1,829,150.93003618817852,0.002833810192828990
throat_with_pathogen_01_7_1.fastq,NZ_CP025249.1,1128,150.9787234042553,0.003855896136925333
throat_with_pathogen_01_7_1.fastq,NZ_CP014239.1,585,150.991452991453,0.001999733368884149
throat_with_pathogen_01_7_1.fastq,NZ_CP017428.1,96,150.98958333333334,0.000328161373355347
throat_with_pathogen_01_7_1.fastq,NZ_CP027228.1,550,150.79818181818183,0.001880091201515012
throat_with_pathogen_01_7_1.fastq,NZ_AP014938.1,320,150.984375,0.001093871244517825
throat_with_pathogen_01_7_1.fastq,NZ_CP007570.1,4633,150.9740988560328,0.015837204612034635
throat_with_pathogen_01_7_1.fastq,NZ_CP029458.1,1300,150.9823076923077,0.004443851930853664
throat_with_pathogen_01_7_1.fastq,NZ_AP025569.1,2658,150.98156508653122,0.009085968024776184
throat_with_pathogen_01_7_1.fastq,NZ_CP054000.1,264,150.97348484848484,0.000902443776727206
throat_with_pathogen_01_7_1.fastq,NZ_CP031243.1,1642,150.9190012180268,0.005612926823432090
throat_with_pathogen_01_7_1.fastq,NZ_CP085178.1,213,150.9718309859155,0.000728108047132177
throat_with_pathogen_01_7_1.fastq,NZ_CP016843.1,3827,150.98092500653254,0.013082016414905364
throat_with_pathogen_01_7_1.fastq,NZ_AP019831.1,79,150.9620253164557,0.000270049463490338
throat_with_pathogen_01_7_1.fastq,NZ_CP109758.1,3445,150.97822931785197,0.011776207616762209
throat_with_pathogen_01_7_1.fastq,NZ_CP050497.1,471,150.9787685774947,0.001610041738024674
throat_with_pathogen_01_7_1.fastq,NZ_CP016089.1,2258,150.95305580159433,0.007718628969128902
throat_with_pathogen_01_7_1.fastq,NZ_CP042818.1,621,150.98389694041867,0.002122793883892404
throat_with_pathogen_01_7_1.fastq,NZ_CP034465.1,467,150.98072805139185,0.001596368347468201
throat_with_pathogen_01_7_1.fastq,NZ_CP014162.1,94,150.95744680851064,0.000321324678077111
throat_with_pathogen_01_7_1.fastq,NZ_CP118095.1,673,150.97919762258545,0.002300547961126551
throat_with_pathogen_01_7_1.fastq,NZ_CP019962.1,4455,150.97845117845117,0.015228738732271594
throat_with_pathogen_01_7_1.fastq,NZ_CP033459.1,269,150.98884758364312,0.000919535514922797
throat_with_pathogen_01_7_1.fastq,NZ_CP006683.1,367,150.98365122615803,0.001254533583556380
throat_with_pathogen_01_7_1.fastq,NZ_CP040798.1,674,150.85014836795253,0.002303966308765669
throat_with_pathogen_01_7_1.fastq,NZ_CP039292.1,401,150.97256857855362,0.001370757403286400
throat_with_pathogen_01_7_1.fastq,NZ_CP021252.1,832,150.98197115384616,0.002844065235746345
throat_with_pathogen_01_7_1.fastq,NZ_CP031057.1,150,150.97333333333333,0.000512752145867730
throat_with_pathogen_01_7_1.fastq,NZ_CP120618.1,1022,150.93737769080235,0.003493551287178803
throat_with_pathogen_01_7_1.fastq,NZ_CP102567.2,756,150.97222222222223,0.002584270815173362
throat_with_pathogen_01_7_1.fastq,NZ_CP038865.1,507,150.79881656804733,0.001733102253032929
throat_with_pathogen_01_7_1.fastq,NZ_CP017295.1,1104,150.90217391304347,0.003773855793586496
throat_with_pathogen_01_7_1.fastq,NZ_AP019822.1,1068,150.9756554307116,0.003650795278578241
throat_with_pathogen_01_7_1.fastq,NZ_CP032819.1,521,150.98656429942417,0.001780959119980584
throat_with_pathogen_01_7_1.fastq,NZ_CP029491.1,2274,150.94678979771328,0.007773322531354794
throat_with_pathogen_01_7_1.fastq,NZ_CP125087.1,699,150.98140200286122,0.002389424999743624
throat_with_pathogen_01_7_1.fastq,NZ_CP075566.1,289,150.98615916955018,0.000987902467705161
throat_with_pathogen_01_7_1.fastq,NZ_CP010997.1,1279,150.97654417513684,0.004372066630432181
throat_with_pathogen_01_7_1.fastq,NZ_CP121201.1,625,150.904,0.002136467274448877
throat_with_pathogen_01_7_1.fastq,NZ_CP039381.1,925,150.95891891891893,0.003161971566184338
throat_with_pathogen_01_7_1.fastq,NZ_CP012672.1,220,150.96818181818182,0.000752036480606005
throat_with_pathogen_01_7_1.fastq,NZ_CP125360.1,3766,150.97796070100904,0.012873497208919152
throat_with_pathogen_01_7_1.fastq,NZ_CP012067.1,170,150.9764705882353,0.000581119098650095
throat_with_pathogen_01_7_1.fastq,NZ_CP047591.1,737,150.97964721845318,0.002519322210030116
throat_with_pathogen_01_7_1.fastq,NZ_CP020566.1,530,150.91698113207548,0.001811724248732648
throat_with_pathogen_01_7_1.fastq,NZ_CP017042.1,1299,150.97767513471902,0.004440433583214546
throat_with_pathogen_01_7_1.fastq,NZ_AP019846.1,232,150.63362068965517,0.000793056652275423
throat_with_pathogen_01_7_1.fastq,NZ_CP115634.1,269,150.94795539033458,0.000919535514922797
throat_with_pathogen_01_7_1.fastq,NZ_CP033719.1,725,150.98206896551724,0.002478302038360697
throat_with_pathogen_01_7_1.fastq,NZ_CP015402.2,159,150.9559748427673,0.000543517274619794
throat_with_pathogen_01_7_1.fastq,NZ_CP126076.1,807,150.98017348203223,0.002758606544768390
throat_with_pathogen_01_7_1.fastq,NZ_CP120398.1,175,150.98285714285714,0.000598210836845686
throat_with_pathogen_01_7_1.fastq,NZ_CP028101.1,1244,150.9863344051447,0.004252424463063045
throat_with_pathogen_01_7_1.fastq,NZ_CP069240.1,189,150.984126984127,0.000646067703793340
throat_with_pathogen_01_7_1.fastq,NZ_CP034157.1,1863,150.914653784219,0.006368381651677212
throat_with_pathogen_01_7_1.fastq,NZ_CP035997.1,511,150.99021526418787,0.001746775643589402
throat_with_pathogen_01_7_1.fastq,NZ_CP019668.1,85,151.0,0.000290559549325047
throat_with_pathogen_01_7_1.fastq,NZ_CP014264.1,833,150.67827130852342,0.002847483583385463
throat_with_pathogen_01_7_1.fastq,NZ_CP084221.1,2024,150.97776679841897,0.006918735621575243
throat_with_pathogen_01_7_1.fastq,NZ_CP014161.1,1448,150.96477900552486,0.004949767381443158
throat_with_pathogen_01_7_1.fastq,NZ_CP027782.1,597,150.97822445561138,0.002040753540553567
