Accession,Organism,TaxID
GCF_003222565.1,Abiotrophia defectiva,46125
GCF_001720955.1,Acinetobacter lwoffii,28090
GCF_001905155.1,Achromobacter xylosoxidans,85698
GCF_000296665.1,Anaerococcus prevotii,33034
GCF_000217915.1,Lancefieldella parvula,1382
GCF_000007845.1,Bacillus subtilis,1423
GCF_000015905.1,Bifidobacterium breve,1685
GCF_000239355.1,Brevundimonas diminuta,293
GCF_000144185.1,Burkholderia cepacia,292
GCF_009761895.1,Cellulosimicrobium funkei,264251
GCF_001745275.1,Chryseobacterium indologenes,253
GCF_000009645.1,Citrobacter freundii,546
GCF_000161015.1,Corynebacterium accolens,38284
GCF_000771305.1,Cupriavidus metallidurans,119219
GCF_900106775.1,Dermabacter hominis,36740
GCF_000759705.1,Dietzia maris,37915
GCF_000014745.1,Eikenella corrodens,539
GCF_001566345.1,Elizabethkingia anophelis,1117645
GCF_001045615.1,Empedobacter brevis,247
GCF_000016565.1,Enterococcus faecalis,1351
GCF_000024205.1,Finegoldia magna,1260
GCF_000475995.1,Flavobacterium johnsoniae,986
GCF_000152985.1,Flavonifractor plautii,292800
GCF_000420785.1,Gemella morbillorum,29391
GCF_000174895.1,[Haemophilus] ducreyi,730
GCF_000209995.1,Haemophilus haemolyticus,726
GCF_000307645.1,Herbaspirillum huttiense,863372
GCF_001435685.1,Janibacter hoylei,364298
GCF_000240185.1,Klebsiella pneumoniae,573
GCF_000379365.1,Rothia kristinae,37923
GCF_000156375.1,Lautropia mirabilis,47671
GCF_000269545.1,Lawsonella clevelandensis,1528099
GCF_000376365.1,Leptotrichia hofstadii,157688
GCF_000187605.1,Malassezia restricta,76775
GCF_000379845.1,Massilia timonae,47229
GCF_002003495.1,Megasphaera micronuciformis,187326
GCF_000007645.1,Micrococcus luteus,1270
GCF_000754015.1,Moraxella nonliquefaciens,478
GCF_000176515.1,Mycoplasma orale,2109
GCF_000204575.1,Brucella anthropi,529
GCF_001558895.1,Paenibacillus thiaminolyticus,49283
GCF_000156235.1,Parvimonas micra,33033
GCF_000744675.1,Pasteurella multocida,747
GCF_001566325.1,Peptoniphilus lacrimalis,33031
GCF_000828075.1,Planococcus citreus,1373
GCF_001882195.1,Propionibacterium propionicum,189932
GCF_000006765.1,Pseudomonas aeruginosa,287
GCF_000020225.1,Ralstonia pickettii,329
GCF_000378705.1,Raoultella ornithinolytica,54291
GCF_001598455.1,Roseomonas mucosa,207340
GCF_000238075.1,Mediterraneibacter gnavus,33038
GCF_002007815.1,Candidatus Saccharibacteria bacterium,2026720
GCF_001567645.1,Selenomonas sputigena,69823
GCF_000006615.1,Serratia marcescens,615
GCF_000240725.1,Shewanella putrefaciens,24
GCF_000525695.1,Simonsiella muelleri,72
GCF_000198415.1,Sphingobacterium spiritivorum,258
GCF_000308615.1,Sphingomonas paucimobilis,13689
GCF_000020545.1,Stenotrophomonas maltophilia,40324
GCF_000008985.1,Tannerella forsythia,28112
GCF_000007925.1,Treponema denticola,158
GCF_001434435.1,Trueperella bernardiae,59561
GCF_001278895.1,Corynebacterium otitidis,29321
GCF_001548655.1,Uncultured bacterium TM7x,1442
GCF_003116975.1,Vagococcus fluvialis,2738
GCF_001279255.1,Veillonella tobetsuensis,1110546
GCF_000175155.1,Weeksella virosa,1014
GCF_000012245.1,Xanthomonas oryzae,347
GCF_000007725.1,Yersinia enterocolitica,630
GCF_000014305.1,Zymomonas mobilis,542
